CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE,INPUT
1276364;1442623;88195;130814;549071;0;0,4096
1461788;1671382;115173;155598;673521;2014;0,4128
1512020;1709652;118286;136370;601988;2624;0,4160
1354123;1532467;97779;139218;591002;2319;0,4192
1503475;1707332;117981;159034;690001;1709;0,4224
1498837;1720455;111084;142454;609129;2991;0,4256
1425107;1589168;92591;144702;597838;0;0,4288
1532161;1742305;121093;153860;670042;2136;0,4320
1416745;1618343;98877;148649;620787;671;0,4352
1740230;1973872;125488;175566;746825;1648;0,4384
1510922;1713374;113037;152851;658384;1648;0,4416
1688106;1917781;125671;174008;747923;2319;0,4448
1785213;2015987;125915;161809;699583;1893;0,4480
1618649;1802242;112609;160485;682554;0;0,4512
1847407;2062372;145874;175729;774107;2014;0,4544
1781307;2018733;128235;180051;766966;3357;0,4576
1909236;2164240;148804;183553;806272;2380;0,4608
1660701;1831111;111145;166220;693723;0;0,4640
1703975;1964777;145751;174539;769529;5066;0,4672
1863582;2114069;139220;190308;818907;2197;0,4704
1914180;2178645;156006;186128;823789;5126;0,4736
2021112;2246820;143981;197699;843381;305;0,4768
1747737;1978206;121948;175606;739317;2075;0,4800
1997553;2273371;155944;201720;881346;2380;0,4832
2404718;2711785;203125;203418;929319;3967;0,4864
2105891;2380670;154052;206921;891782;1831;0,4896
1959345;2200251;138550;189464;806639;1465;0,4928
1942256;2211908;136963;185819;788878;2991;0,4960
2067072;2353082;153931;207846;898923;2746;0,4992
1987544;2240046;141479;190695;802122;1893;0,5024
2258173;2550957;158630;226955;961973;4456;0,5056
2210383;2497247;154357;216192;921079;2685;0,5088
1946529;2205988;132263;202201;838804;0;0,5120
2105524;2386407;162353;200683;881162;4638;0,5152
2146051;2441034;158019;222226;947507;1953;0,5184
2206904;2512018;156006;205556;882016;2076;0,5216
2368890;2671746;182250;238848;1037717;1831;0,5248
2357782;2671990;165404;238468;1005246;2075;0,5280
2096552;2365716;142212;210846;884458;0;0,5312
2243646;2530022;158386;213194;910154;2625;0,5344
2464959;2823540;219664;258153;1137387;4212;0,5376
2367426;2690911;173034;241895;1026791;1953;0,5408
2468011;2769708;183349;222765;975034;1770;0,5440
2583246;2921684;190063;252942;1084408;1892;0,5472
2562554;2909905;189331;261089;1111692;3113;0,5504
2593255;2917473;183105;253653;1080564;2625;0,5536
2329218;2594903;153381;230679;959837;0;0,5568
2424188;2770989;187744;240513;1041746;4151;0,5600
2384760;2691095;170776;233291;991575;2319;0,5632
2564569;2910149;190002;257716;1109005;1953;0,5664
2595391;2971428;191345;260125;1109678;4639;0,5696
2783806;3095817;199157;247162;1066586;3906;0,5728
2692132;3025932;192260;249866;1075620;1953;0,5760
2764947;3127433;199096;279100;1190793;2930;0,5792
2798028;3176872;207214;285087;1222959;1892;0,5824
2828667;3208549;208496;284888;1221615;3601;0,5856
2832512;3211478;203125;284237;1210019;3418;0,5888
2861016;3231254;195983;286054;1202633;1953;0,5920
2879814;3248343;198181;283813;1197994;2502;0,5952
2940483;3318351;200500;294095;1235043;2319;0,5984
2819755;3141411;193664;266853;1136288;2381;0,6016
2758172;3140129;192932;270342;1138791;3906;0,6048
