CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE,INPUT
45474920;64101215;18696363;10338010;49593013;339415;0,20000
45680730;64666888;19121411;10521620;50527947;367736;0,20100
47518677;66598340;19294506;10568871;50763236;367370;0,20200
46304264;65742691;19687633;10761382;51638479;368225;0,20300
46526248;66229688;19784556;10995234;52635546;373534;0,20400
46683108;66665479;20228464;11085391;53157518;364257;0,20500
46915408;67126903;20339243;11305311;54113998;375061;0,20600
47606872;68371285;20829903;11488574;55126995;413329;0,20700
48387755;70389041;21591253;12047814;57756932;463256;0,20800
45854375;68149850;21662359;12653414;60470853;240967;0,20900
50610284;72549924;21968267;12165483;58572787;456786;0,21000
48895261;70586428;21911687;12051906;57859105;394225;0,21100
49190731;71125550;21915349;12290631;58919893;409301;0,21200
50169244;72779477;22681339;12608196;60614042;416198;0,21300
50463860;73161068;22733950;12711038;60898831;419310;0,21400
51187552;73783685;22769962;12539755;60263884;444945;0,21500
51876332;74687797;22879153;12655478;60832913;461668;0,21600
52324024;75630726;23408448;13013839;62464257;437743;0,21700
52323780;75802662;23648865;13078496;62809836;428587;0,21800
53518723;77356857;24032654;13246760;63736043;462463;0,21900
53577622;77386337;23988464;13283578;63714375;463439;0,22000
54206404;78189681;24159789;13352845;64185139;451232;0,22100
55142376;79466655;24597959;13487383;64933855;456664;0,22200
55376262;79986307;24857359;13657243;65670974;475768;0,22300
55177410;79737650;24609983;13683893;65646011;475951;0,22400
56562417;81991550;25602046;14130930;67974984;491637;0,22500
56846168;82458041;25831233;14198252;68355111;475462;0,22600
58370700;84151457;26095453;14300666;68764045;497008;0,22700
57741063;83918852;26253229;14631552;70139285;519042;0,22800
58800997;85262294;26676140;14663304;70603640;514464;0,22900
58561678;85134914;26780876;14855717;71235536;476012;0,23000
60228911;87483052;27440360;15169092;72936520;520629;0,23100
59342011;86127038;27016349;14918057;71642578;477050;0,23200
60580900;88164935;27855214;15382397;73864801;502684;0,23300
60949735;88773088;28113026;15464752;74226129;537291;0,23400
61622767;90044813;28640368;15798231;75916187;531737;0,23500
61650172;89937087;28508289;15780905;75613515;558349;0,23600
62486839;91361887;29104052;16082760;77334275;532591;0,23700
63599080;92851691;29554184;16276208;78259138;558532;0,23800
63614278;93119635;29692550;16426839;78894879;576842;0,23900
64953630;94623659;29784165;16552309;79519328;568602;0,24000
67119885;97666376;30802716;16981740;81655979;600828;0,24100
65068682;95808044;30999005;17159034;82290011;601011;0,24200
65422501;96619748;31192913;17502340;83908660;588011;0,24300
68288521;99918751;31559673;17739455;85131313;598754;0,24400
66939038;99185903;32206765;18053730;86766319;643675;0,24500
67023571;99845387;32633095;18458250;88561663;652464;0,24600
66763989;99574940;32750405;18494164;88613664;587523;0,24700
67317394;100464647;32893714;18705342;89681900;629576;0,24800
68010262;101423019;33285438;18832478;90292982;609496;0,24900
69164068;103404887;34048496;19301525;92598273;656493;0,25000
69908025;104741064;34524204;19632954;94236758;681334;0,25100
70567751;105178137;34416415;19457554;93400884;677611;0,25200
72490171;107199250;34734592;19490734;93503606;661009;0,25300
72649473;107115144;34636386;19239171;92466804;662718;0,25400
73350581;108268094;35042940;19528563;93849003;673033;0,25500
74071099;108956753;34837497;19565067;93866947;681333;0,25600
74039056;109824975;36010650;20011203;96062315;662169;0,25700
74420159;110502647;36292754;20141354;96692990;722959;0,25800
74835929;111150106;36634732;20324359;97487360;658690;0,25900
75404348;111600300;36432829;20199184;96920711;718077;0,26000
77129624;113991957;37279811;20534015;98676444;715208;0,26100
77840377;114906200;37411953;20715390;99433034;670835;0,26200
78268171;115723092;37730738;20883738;100332568;727720;0,26300
78282148;115509653;37545864;20775145;99662403;706419;0,26400
79289592;117087652;38326379;21007216;100821458;700498;0,26500
79870218;118207522;38825829;21389008;102646222;725035;0,26600
81189734;120164732;39356344;21655297;104182778;763060;0,26700
81102454;119713194;38893882;21602747;103629800;685729;0,26800
82223911;121740533;39921895;21979744;105483678;806028;0,26900
82214877;121808587;40015889;22136708;106145236;739928;0,27000
83112276;122837760;40139546;22147414;106322054;727171;0,27100
84212370;124476243;40498980;22433370;107746367;796019;0,27200
