CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
229552;300659;33508;25311;550;0;1
188232;234558;33997;20347;671;0;2
496642;612486;70556;42412;976;0;3
1187741;1364377;125854;94855;1220;0;4
2454217;2809685;226318;194646;977;0;5
4353749;4949145;391661;341630;1587;0;6
7155316;8101542;586729;542373;1831;0;7
10936129;12400115;898984;833026;2686;0;8
16053670;18164321;1294125;1215256;3479;0;9
22110905;25036435;1776546;1696471;3540;0;10
29925339;33872167;2395868;2288682;4761;0;11
39569967;44757454;3147941;3011020;5921;0;12
45708623;52970934;4374500;4203739;7812;0;13
58616305;67754649;5536301;5304082;11475;0;14
71190126;83068207;7176312;6882314;12817;0;15
84998134;98637443;8078531;7973556;4699;0;16
103330668;120022214;9842626;9724406;5371;0;17
125308029;144996516;11596589;11459622;6531;0;18
144378536;167926511;13924403;13740813;8667;0;19
172513170;199959815;16213520;16004738;9521;0;20
198833964;230342794;18597181;18453687;7995;0;21
222927102;260700504;22284000;22000149;13367;0;22
237908815;282986763;26575554;26294420;14771;0;23
274351776;324708458;29623154;29523272;7324;0;24
301756613;360499199;34729342;34347299;18981;0;25
332451237;398693864;39056357;38837447;13916;0;26
378815437;454965755;44826423;44322556;28076;0;27
414621924;498140388;49216976;49045465;13184;0;28
460460125;554827437;55676249;55114484;31250;0;29
516689351;621985408;62085473;61454655;33569;0;30
562579432;677764196;67971689;67362813;35400;0;31
619564698;748264686;75685475;75049057;35767;0;32
676353004;815574694;82163852;81582344;36377;0;33
754702170;908677911;90357801;89730002;40589;0;34
813415520;981208547;98837393;98221643;41076;0;35
881806337;1063713830;107348541;106702538;45471;0;36
953211000;1151590436;117027899;116348538;48462;0;37
1033611551;1250763338;127857888;127186676;47668;0;38
1120218446;1352516740;136960343;136248086;52978;0;39
1206442102;1459065600;148663560;148011504;55725;0;40
1302861411;1573891844;159591266;158914555;57494;0;41
1428018317;1725552467;174402080;173565742;58654;0;42
1510458657;1824403716;184762833;183972026;64758;0;43
1620001834;1957404535;198617961;197848083;69153;0;44
1757239093;2119960088;212338934;211565581;72815;0;45
1848581633;2234428239;227082243;226293962;75928;0;46
2445084378;2940342021;286020264;285453678;93078;0;47
2101486990;2539850676;258032115;256955544;84778;0;48
2281978655;2754911221;277075096;275661511;90149;0;49
2413471116;2915124618;293697124;292755289;91186;0;50
2526222048;3054241998;310269592;309241109;93933;0;51
2706042023;3269225029;330015696;328992260;103577;0;52
2837102112;3429782601;348308313;347383466;107910;0;53
3019583822;3650929435;370509977;369422014;112366;0;54
3176296190;3838410584;389164225;387896997;116333;0;55
3467385166;4183295504;417047394;415897368;125244;0;56
3616271199;4361300786;434807542;433502837;129211;0;57
3735853046;4515009926;457681263;456403922;135925;0;58
3926969927;4746858027;481885425;480499343;141052;0;59
4159238681;5032443599;512098604;511051638;152588;0;60
4355520955;5264790599;533856482;532678947;152466;0;61
4620867870;5577953005;559969025;558646600;161987;0;62
4795253959;5794390684;588055562;586192650;170166;0;63
5033425163;6081205502;616529488;614448690;175232;0;64
5350378332;6458550116;648377673;646239698;188293;0;65
5529259160;6678751579;676940772;674776952;188476;0;66
5864399660;7078534797;710073317;708325969;196960;0;67
6050253249;7309327235;740252622;738981708;211365;0;68
6316135930;7632037774;773452548;772214199;213134;0;69
6613664587;7989768974;808982426;807117852;224243;0;70
6902518279;8340394298;845038120;843234411;235657;0;71
7310941062;8829478617;887215075;885063151;253478;0;72
7490553700;9049574611;917745087;915384259;254577;0;73
7924971229;9571187656;962831337;960333810;267944;0;74
8259220128;9979561122;1021881662;1007606999;292297;0;75
8461202583;10231304314;1041638142;1039111630;285278;0;76
8738524871;10596393772;1093242258;1090399393;297423;0;77
9160294970;11067680407;1121724668;1118748112;293212;0;78
9521350565;11505597682;1166976749;1164241410;294433;0;79
9912838331;11969442380;1210694960;1206616985;299987;0;80
10382293855;12530672084;1258825573;1255701886;309264;0;81
10676159863;12892906386;1304890763;1301154785;312622;0;82
11214963538;13527834814;1356352973;1351256253;314025;0;83
11487072155;13869116656;1403584908;1398832401;332763;0;84
12023805095;14606698263;1506145498;1501886919;391235;0;85
11904398235;14571262807;1564320886;1559286478;418639;0;86
12500050031;15319440396;1658813380;1643563029;435485;0;87
12797604750;15664820188;1680379060;1675857700;443298;0;88
13309400742;16269737829;1734629471;1730547157;454833;0;89
13733744017;16782818303;1788395629;1783471718;473144;0;90
