CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
72267454;88853471;8374979;7846216;3540;0;256
73922113;90841626;8540505;8014485;3051;0;264
76114918;93536625;8812905;8243407;3235;0;272
80118386;98436943;9222938;8664445;3296;0;280
80118630;98436821;9230628;8670620;3906;0;288
82391879;101254380;9509680;8933024;3357;0;296
84919644;104381325;9826207;9210941;4090;0;304
86595237;106437410;10036473;9404306;3967;0;312
89659805;110229515;10375217;9741232;4089;0;320
91612863;112595293;10585605;9937351;4028;0;328
93393011;114804638;10800571;10155567;5127;0;336
95494628;117445378;11035921;10432320;2137;0;344
98030510;120492550;11337129;10640178;4333;0;352
101794661;125136826;11768403;11061398;5127;0;360
104461464;128367897;12039825;11322552;5188;0;368
104694983;128654761;12090607;11359823;5249;0;376
107591704;132287442;12419707;11720089;4028;0;384
109300257;134376121;12674101;11896646;6470;0;392
110838705;136252703;12841459;12059226;8850;0;400
114229383;140396430;13231351;12415739;6409;0;408
115398874;141840702;13348721;12537474;5859;0;416
116163887;142841431;13450893;12706879;2441;0;424
121123286;148896957;14058314;13181814;6958;0;432
122736930;150899699;14249109;13359352;9949;0;440
125720381;154560578;14566002;13681772;8484;0;448
125611495;154421358;14583032;13688653;6531;0;456
129966465;159795428;15053977;14160154;9460;0;464
132809108;163226206;15380820;14427029;8483;0;472
130199679;161552504;15812520;14849966;8789;0;480
131207611;162929270;15989461;15070359;4211;0;488
131167694;164434515;16727557;15764239;10253;0;496
139820870;171796680;16141683;15160845;10253;0;504
128891699;163787911;17542069;16527084;9582;0;512
129806247;165568119;17935013;16987523;2869;0;520
138218518;173654219;17854325;16802548;9400;0;528
131229156;168880977;18883924;17848316;11841;0;536
135753132;173319014;18865674;17818098;9033;0;544
145210566;181725426;18379164;17318310;10926;0;552
140512885;179100310;19373974;18279899;11657;0;560
143947385;183429645;19861094;18728873;9766;0;568
142311403;182941304;20399484;19244884;11414;0;576
145548578;186435863;20547250;19371854;11536;0;584
145486871;186531444;20608956;19468958;8423;0;592
146910573;188222480;20751107;19564127;11780;0;600
148875107;190913635;21101509;19920568;11108;0;608
150551190;193378411;21473639;20315909;8362;0;616
152672705;196140855;21803716;20597591;12207;0;624
158184409;202667755;22303898;21070135;13550;0;632
152956274;197692487;22428287;21241674;6347;0;640
155312346;200586339;22719791;21466893;11108;0;648
156940455;204374782;23760315;22467165;11719;0;656
163320504;210257457;23454286;22261739;6103;0;664
153234654;202818695;24779660;23462761;13733;0;672
159268880;207896623;24426268;23022964;14038;0;680
164706854;212842167;24056091;22851493;4089;0;688
162381847;212275091;25013242;23609275;14710;0;696
154318636;205840843;25835200;24396772;12512;0;704
162888438;213670351;25390010;24143166;2442;0;712
167987241;219746996;25985469;24513680;15259;0;720
155380034;210233532;27386343;25942075;13428;0;728
168964167;222784952;26926628;25462854;15808;0;736
157160059;213578555;28218861;26692302;14099;0;744
174257061;228453456;27203055;25669643;15259;0;752
155802457;213513980;28875171;27315772;14038;0;760
167816648;224686925;28493640;26911607;16113;0;768
170116386;227945705;28941271;27397867;15381;0;776
170993032;229130944;29119188;27514032;15686;0;784
164253791;225170200;30457625;28862040;13671;0;792
170797658;231451800;30371993;28710133;15258;0;800
166767029;228717248;30983869;29343097;12390;0;808
174495464;236562016;31004926;29372178;15747;0;816
178784760;239783078;30493086;28896166;13672;0;824
171414112;234911752;31770427;30050721;16236;0;832
182517538;246625528;31993937;30377751;12756;0;840
178736847;243320361;32252603;30567486;19288;0;848
181456872;246367717;32472145;30797158;13305;0;856
180308254;247129555;33346900;31619167;18860;0;864
179034515;245520428;33274085;31556790;12512;0;872
185725232;251931423;33104164;31351569;18555;0;880
186880381;253753196;33481116;31734434;12634;0;888
187920723;257446912;34720004;32886585;20508;0;896
185856091;254991535;34500156;32784592;10254;0;904
187539131;257079054;34841890;32937345;19043;0;912
188517340;258741586;35068453;33293556;11047;0;920
190594116;261214724;35290376;33407359;19348;0;928
190838074;261874940;35583344;33736821;11841;0;936
194551077;266644764;36077789;34118839;20264;0;944
195434314;268349350;36390288;34577281;10071;0;952
204020413;277042625;36514371;34544057;21301;0;960
199320534;273724641;37149441;35314350;10376;0;968
202888030;278126485;37607326;35582193;19409;0;976
201191258;276299036;37468838;35596137;10437;0;984
205241295;281275098;37983362;35978068;20080;0;992
204185573;280389541;38042078;36141028;10681;0;1000
207236774;284143987;38524193;36422544;20813;0;1008
209828321;288004878;39041282;37131858;10620;0;1016
215599485;295356604;39895589;37756127;23133;0;1024
