CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE,INPUT
23010805;25687007;1973505;1905054;8620034;64636;0,800
30695844;34191685;2615533;2463275;11268403;77392;0,832
33558202;37865869;3125053;2892282;13236783;70739;0,864
44555061;50336725;4666431;3697897;17384599;84777;0,896
51044730;57300329;4302967;4319004;19568675;95947;0,928
59421478;67286510;5848617;5238575;24224914;99548;0,960
65577225;74133965;6038864;5872574;26785820;105591;0,992
66944713;95436035;33543554;14460902;71145448;191467;0,1024
85135829;96100340;7779643;7601968;34450535;125915;0,1056
97420100;110028649;9628149;8399140;38990928;123413;0,1088
105693150;118302127;8989723;8777181;39641256;142150;0,1120
125110824;141869632;14313867;10481673;49635798;153320;0,1152
122987417;139021617;12318999;10606511;49360958;137695;0,1184
140268684;158715780;14626793;11993996;56105020;161071;0,1216
155112762;174548442;14670739;12916887;59974700;163574;0,1248
147291737;186552257;42072646;21407178;104717994;234741;0,1280
175339883;198319988;17502579;15314020;70826845;193603;0,1312
192359859;218280325;21506659;16583997;78011275;171691;0,1344
225324314;253480308;21263496;18737253;87040244;218871;0,1376
232947829;267244250;31395855;20707819;98812186;246765;0,1408
254916644;287122983;25226559;21144485;98569510;231201;0,1440
280352859;317333111;31648234;23156655;109765100;261352;0,1472
297911041;335635798;29706528;24573955;115020152;268004;0,1504
242539418;355002387;132140103;56780959;281786510;464598;0,1536
341700114;385660329;34959505;28568534;134165734;307921;0,1568
356449161;406784604;44030099;31142559;148010180;326843;0,1600
398628374;449901253;41264542;32977904;155606291;374450;0,1632
383742792;454592098;70513736;40565186;196318100;385864;0,1664
450648077;508853250;47158449;37366280;176246009;429320;0,1696
461954750;527974540;58919283;40346461;192655878;374572;0,1728
509063394;575045891;53732895;42248494;199278237;443481;0,1760
368586032;521028817;173028243;79090647;389839700;656797;0,1792
570912601;645796748;61263271;47864495;226396210;514953;0,1824
606521518;694926260;83542511;52237988;251354215;465148;0,1856
638287001;722285444;70164920;53151380;251396146;542418;0,1888
534104345;666775210;139331186;73342103;357518982;738158;0,1920
713592716;808238959;79340617;59856127;283331062;598631;0,1952
712193062;826197287;109600062;66633778;321295015;658201;0,1984
761202703;868376500;92216073;66756554;317328167;668334;0,2016
569746955;869785432;360709281;150942414;742394583;1253415;0,2048
836783747;955411006;101995284;73999207;352300795;703062;0,2080
838781605;985130596;145195246;84004061;407050288;771727;0,2112
968020043;1099811393;115114818;81411596;387902266;755491;0,2144
721222946;946772662;245390363;121429509;594707096;1068967;0,2176
1063010279;1209068682;129675572;89492216;427131536;850156;0,2208
1018530168;1203979522;187360177;105108097;510374792;935118;0,2240
1166138494;1327285726;144458859;98143146;468903829;910886;0,2272
817063948;1197955918;439695713;194158981;962967627;1599850;0,2304
1221823776;1400626236;162704662;108193838;517950761;988706;0,2336
1137724138;1368403846;234776255;130362893;633068997;1158078;0,2368
1386341422;1582278787;179260466;118142956;565236285;1043699;0,2400
985166789;1333079900;382434568;185535695;910804797;1548824;0,2432
1509604656;1723858991;198160382;128438899;616081735;1101804;0,2464
1346045199;1633981535;298911222;160840832;783298959;1365109;0,2496
1634536587;1870006138;220531234;140103644;672790148;1214779;0,2528
1168077088;1759898082;696533739;295750173;1478880980;2297235;0,2560
1695962150;1955173401;245894512;153046398;736940984;1310116;0,2592
1496555434;1840429370;358745358;191230974;932142938;1576656;0,2624
1914358564;2194123228;265924490;164844656;793828107;1437435;0,2656
1313814935;1827761983;568695261;272341423;1338945913;2195368;0,2688
2062026642;2370350865;297896454;179909714;868591587;1523738;0,2720
1778527429;2185284139;428401797;224393930;1095511539;1840206;0,2752
