CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE,INPUT
2257562;2467278;78674;150147;621398;2991;0,128
2619866;2852226;91919;191960;787351;2259;0,137
3031059;3271110;81177;205964;822386;0;0,146
3907827;4218617;116577;259532;1053403;2014;0,155
5095995;5492967;153564;343572;1398068;3113;0,164
6257064;6777571;182738;411233;1670223;6165;0,173
7763530;8378518;219116;520704;2106135;8606;0,182
9821875;10643283;330505;679992;2796196;7935;0,191
11552217;12486052;365600;788224;3230765;8728;0,200
13952235;15077171;413268;951932;3871695;9582;0,209
16000325;17262224;454406;1081442;4391896;11841;0,218
20222300;21844793;624693;1328638;5467759;32714;0,227
23151918;24940793;691283;1450325;5973923;51696;0,236
27706899;29922043;827696;1797756;7400799;61890;0,245
31033307;33483740;976621;1966061;8140421;66589;0,254
38321313;41267290;1117184;2399026;9867711;74524;0,263
45757024;49154416;1266476;2802371;11498872;75257;0,272
49976435;53648483;1318112;3086633;12575834;78552;0,281
55498637;59939117;1633968;3684887;15079307;82214;0,290
59481049;64548296;1798946;4236619;17283587;91613;0,299
66725415;72518979;2102594;4873134;19857859;86914;0,308
76365772;82736910;2222284;5386121;21889043;100403;0,317
87278219;95081787;2854119;6321861;25887996;149597;0,326
102212446;111869099;4096792;7390963;31053388;302733;0,335
117272527;129401463;5257066;8871129;37622523;401427;0,344
130058505;142406740;5392747;9260769;39055442;338073;0,353
137675245;150443524;5451341;9970946;41748062;258727;0,362
152175819;166338319;5875656;10987165;45994267;325683;0,371
159774738;174173871;5835923;11627735;48300353;210937;0,380
184096147;200551305;6746198;13284192;55254803;239502;0,389
196032213;213728396;7325665;14279054;59411408;242126;0,398
222375652;242211294;8190104;16092584;66868115;238464;0,407
252976587;275669522;9145362;18462886;76522876;303222;0,416
254165793;276927819;9336280;18440649;76620471;309447;0,425
285924866;311970759;12214019;20904665;87466146;321776;0,434
318305094;347097317;13323391;23074967;96660763;372436;0,443
333692688;364368086;15258323;24291784;101997786;403563;0,452
358136168;390142983;13250149;26061308;108193693;365051;0,461
377638499;411181931;13505764;27385370;113336685;441405;0,470
410611192;447364638;15041953;29944334;124072864;436950;0,479
480529531;527529472;27827932;35519841;152036598;565855;0,488
483740949;526717157;17836441;34892268;144990230;509764;0,497
521452095;568626291;19976329;38067436;158514121;618895;0,506
567096326;618047978;21599859;41288304;171898547;567687;0,515
597633724;651732584;23514222;43496653;181539880;652220;0,524
648613147;707319356;25208248;47456747;197788373;639952;0,533
694731009;757781202;27633596;50778637;211916572;759153;0,542
762073183;831131844;30236311;55581233;232300553;851316;0,551
799801541;873568625;33777562;58795085;246392130;866880;0,560
898109273;979546748;36785733;65182083;273384371;970701;0,569
919565639;1004075616;39835653;67042402;282037913;985593;0,578
1000408938;1092574901;44275155;73263273;308550175;1030821;0,587
1024343874;1120294984;49033505;74959720;317314800;1081113;0,596
1207770651;1322069186;60867154;90229016;381977110;1213742;0,605
1246424483;1363199086;63470784;91012898;386198902;1219296;0,614
1390757548;1529545767;77526779;108301879;460517376;1468563;0,623
1391322061;1527611079;83669220;101718598;438177650;1367978;0,632
