CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;INPUT
1401486;1616695;200378;126824;594786;3113;0;800
1763850;2080073;295776;172216;817991;11230;0;832
2117793;2473687;350707;187472;898801;6713;0;864
2313166;2698418;381957;196256;942014;5310;0;896
2193842;2606195;409850;209780;1004331;8423;0;928
2693780;3158562;495177;248494;1193600;6287;0;960
2825433;3410575;563048;285708;1379391;8545;0;992
3142815;3740897;597227;299447;1437313;10253;0;1024
3470938;4194875;730589;364837;1751400;14587;0;1056
4253774;5060229;834043;390501;1892513;14892;0;1088
4379200;5247484;906309;422816;2046991;15441;0;1120
4608997;5577500;1003415;475354;2302850;16906;0;1152
5487107;6553755;1112301;511411;2478815;18311;0;1184
5953171;7094403;1213315;550192;2674981;21180;0;1216
5826279;7067914;1322872;601463;2929985;24414;0;1248
6670332;8048136;1446956;649121;3153617;21667;0;1280
7068342;8566629;1570492;722222;3506888;28138;0;1312
7554424;9176673;1699153;775968;3768301;32593;0;1344
8841774;10632602;1920771;842238;4093496;28931;0;1376
9188698;11064486;2007563;907789;4418385;28687;0;1408
9634863;11667084;2156305;954809;4649769;39367;0;1440
10360813;12535673;2316522;1025426;4996509;40161;0;1472
11477021;13780482;2468072;1092086;5316820;48095;0;1504
12410979;14840905;2587029;1155488;5619248;50782;0;1536
13326931;15994222;2878899;1255810;6126815;56213;0;1568
15144736;18059951;3095512;1370206;6686079;55908;0;1600
15842123;18942883;3322746;1448479;7070661;55908;0;1632
16977252;20312326;3503165;1550446;7563823;55420;0;1664
17419633;20925911;3709525;1638946;7989176;58288;0;1696
18431899;22069462;3898488;1701088;8302346;58899;0;1728
19268872;23138734;4127431;1783378;8708046;68848;0;1760
21214912;25377926;4457142;1949996;9503333;69580;0;1792
21031807;25343380;4625782;2012765;9818457;68420;0;1824
22169133;26748039;4889453;2143347;10454991;87280;0;1856
23233217;28040638;5116625;2223406;10850619;100830;0;1888
25413753;30525374;5489915;2387950;11645722;108032;0;1920
