CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;INPUT
7735942;8809181;723692;667337;3033867;24048;0;800
10049291;11228792;686217;916817;3857412;5005;0;832
10874911;12274627;852964;1031987;4440052;4761;0;864
14756981;16457051;1006223;1346757;5585251;7385;0;896
15762716;17674088;1018613;1534873;6373519;4822;0;928
18798658;21257819;1761287;1717389;7681988;8117;0;960
21893316;24686461;1693721;2117999;9097389;9399;0;992
32130472;38734764;7763225;3451027;16676043;12512;0;1024
28291371;31710734;2062129;2680736;11233980;8301;0;1056
32188334;36253142;2766656;2954641;12986539;11780;0;1088
32167703;36067962;2402521;2992987;12712125;10864;0;1120
38182580;43513378;4124440;3578096;16420124;13794;0;1152
41921767;47172914;3409049;3932425;16972979;14160;0;1184
46217350;52204761;4307912;4262148;18905042;13550;0;1216
49459834;55497905;3782217;4586857;19616832;17151;0;1248
54877606;63438192;7715557;5299981;25174862;16906;0;1280
58669406;66277602;5322618;5444175;24079406;12878;0;1312
63544271;71539307;5460313;5856640;25568539;16724;0;1344
66599317;74380852;4607410;6134610;25688166;21668;0;1376
72887203;83179292;8385049;6794976;31143047;23010;0;1408
79347880;89659499;7427167;7337960;32418069;22399;0;1440
85702479;96628537;7639751;7841227;34532809;23376;0;1472
90793347;102977824;9112770;8354637;37775050;27587;0;1504
133878930;162078870;33202796;14337571;70446964;21545;0;1536
101809676;114505322;8473184;9420657;40756365;26733;0;1568
110273949;124738999;10387486;10183143;45257147;32166;0;1600
118436159;134262047;12011199;10927977;49003537;33875;0;1632
124414477;142517397;14893272;11681535;54612103;35340;0;1664
132306424;148933884;11583650;12241734;52864550;27770;0;1696
138229871;157729027;15513632;12938193;59365754;39001;0;1728
148005420;166636597;12873258;13659549;59298615;38025;0;1760
176789830;210248424;37234767;17848237;87461385;51880;0;1792
167419677;187688179;13221157;15429742;65445267;16601;0;1824
171737110;196273362;19862437;16251135;74537041;53833;0;1856
181651695;207174274;19880931;17040927;78498334;50231;0;1888
187548409;216902094;25916987;18319205;86507042;53467;0;1920
200513830;228915307;22039494;18982829;87260885;52307;0;1952
210036816;240951348;25852717;19981048;92946417;58167;0;1984
227253934;259110725;25732966;21129119;97280207;36988;0;2016
340447309;423166947;106298983;39721365;194886525;103882;0;2048
254076498;292453047;34697848;23711171;112563250;34789;0;2080
256526382;295513830;34211339;24547108;115155834;76538;0;2112
267921555;306770027;30977276;25503742;118618166;84106;0;2144
280803785;325341757;40830767;27358407;129930209;0;0;2176
306398446;351709122;39638876;28604588;134102867;83130;0;2208
302340474;349075828;40828386;29488830;138213147;64880;0;2240
323070767;369371674;36544584;30746216;141944583;89722;0;2272
377016979;458557970;97529780;40685495;201486789;55420;0;2304
345758819;397015158;41406205;33474435;155863980;102966;0;2336
367198645;424683117;51615712;35736444;167722105;51269;0;2368
392947175;447533583;42807203;36963395;167006592;110961;0;2400
401834177;470982986;69500188;39975986;192339961;41015;0;2432
431586663;497534187;59280854;40819531;192912958;114563;0;2464
449587167;521910407;67810373;43503781;205300011;29724;0;2496
464578034;532104533;56695045;43805854;202094392;132934;0;2528
656872403;810438782;191170409;73692997;368189427;22461;0;2560
501661374;579309430;70250370;47891150;226501556;138977;0;2592
509010294;595357484;85083767;50604301;242566212;11292;0;2624
536528473;617308845;69819768;51308525;240002560;156006;0;2656
576585805;681912256;112874711;57938748;281714611;132812;0;2688
565630510;652244790;75103018;54669227;257909740;147949;0;2720
589102496;689563603;99267446;58659062;280901503;147888;0;2752
642664920;748009804;104126076;61416967;294900124;140197;0;2784
774945404;949790110;215402341;84482809;422602007;139892;0;2816
668010314;772651709;95362305;64307505;305486095;142090;0;2848
703131562;827427691;128613867;70076515;338411365;146118;0;2880
730054405;846914458;111133260;69908600;333817810;139648;0;2912
790274161;949239514;182268333;82437617;406877681;142212;0;2944
798569367;929646302;129577061;76458822;366933997;145752;0;2976
807304696;954871884;156903651;81488199;395645960;142273;0;3008
849925375;981227041;120916194;80817002;378371346;143249;0;3040
1177721594;1471226763;376686231;136527497;686225721;137085;0;3072
895830348;1041564839;140572821;86611134;413815652;141845;0;3104
929604676;1102153245;186208142;94215072;459268051;144653;0;3136
954658872;1111408898;153052099;92267222;442558803;136535;0;3168
1051869743;1269548752;254061606;110996159;548464355;139159;0;3200
1003106746;1164084178;150978861;97228430;464493806;153442;0;3232
1060271760;1252601591;204294277;106465273;517661090;145568;0;3264
1086895838;1266061334;175174539;105298041;505573046;146178;0;3296
1412182298;1732585286;394500272;154897128;775844144;138061;0;3328
1164962960;1360166745;194853627;113154169;544882211;144165;0;3360
1214804568;1441417025;248845310;122002356;596537352;141174;0;3392
1238459110;1443816617;202349214;120172393;577734239;141174;0;3424
1440690404;1753837185;373943805;155082620;771513406;528990;0;3456
1313211237;1534096292;221389814;127685464;616030894;140014;0;3488
1379582955;1636633505;281968700;138533186;677527380;142151;0;3520
1382723694;1616608411;233315870;135684373;654819857;139160;0;3552
1908645260;2365260730;573845577;216480211;1087850120;148621;0;3584
1489432894;1745956956;263402646;145736508;707670124;142211;0;3616
1506466358;1783960765;297919098;152407284;743561817;144409;0;3648
1559141517;1818833295;256458633;151750099;729556421;143188;0;3680
1840100392;2239391728;478600154;198486775;987759068;147338;0;3712
1676943460;1962054608;287401852;163810638;790324514;146850;0;3744
1748381083;2082173869;374723528;176359353;865200788;142212;0;3776
1766772943;2075846431;322391692;173507094;844887913;140930;0;3808
2262556464;2804220605;683936726;255296840;1284799567;146118;0;3840
1815851980;2120039128;299985499;178061767;857657167;143738;0;3872
1903911142;2256966085;383371699;192080347;938849220;135071;0;3904
1978750122;2329776018;371403956;195045994;951773564;145324;0;3936
2330067033;2841398427;616181955;252713170;1261385809;145995;0;3968
2070740792;2437347154;385278615;204776149;998419380;149963;0;4000
