CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;INPUT
1336606;1587032;140686;192782;813169;0;0;4000
1458676;1729121;153503;210306;883603;0;0;4200
1596615;1895441;170165;230194;966734;1953;0;4400
1737117;2072199;182434;252011;1057981;0;0;4600
1863093;2210627;193359;269189;1122311;0;0;4800
2011896;2394342;212097;291187;1219662;0;0;5000
2161859;2575372;233947;312389;1317684;2869;0;5200
2329157;2765679;251159;335425;1419430;3113;0;5400
2474726;2942864;269164;359729;1515255;2502;0;5600
2654656;3159477;289062;383539;1625729;2564;0;5800
2834282;3374320;312804;408768;1742061;2015;0;6000
3010124;3580130;320983;435279;1824153;2808;0;6200
3192802;3795278;341857;462560;1943111;2075;0;6400
3379813;4027517;365843;490113;2070002;2502;0;6600
3589651;4271901;383605;519061;2180475;2502;0;6800
3777212;4488697;401244;549231;2295587;2868;0;7000
3998830;4746570;423888;580481;2427728;2320;0;7200
4210561;5003710;456053;611789;2577508;2136;0;7400
4431263;5269273;469542;645017;2690728;2807;0;7600
4685169;5545274;498106;677385;2838188;2259;0;7800
4902941;5870835;523558;712424;2984368;4394;0;8000
5163806;6186508;549804;751022;3148185;2747;0;8200
5362474;6426803;571471;779377;3264213;2014;0;8400
5615036;6735640;604185;818038;3432242;5554;0;8600
5848740;7014874;625975;855284;3583731;2502;0;8800
6183395;7406841;656553;895756;3754141;2685;0;9000
6472945;7753948;690489;939665;3938283;3357;0;9200
6698530;8036723;720640;975325;4095082;4639;0;9400
6991986;8379129;742002;1015635;4235097;4577;0;9600
7344952;8807534;788938;1055389;4438465;4028;0;9800
7612286;9118568;804075;1097662;4591419;3479;0;10000
7828532;9382849;826964;1140760;4757617;4089;0;10200
8200723;9819005;869078;1188096;4972217;4272;0;10400
8507607;10185215;895140;1230629;5132189;4578;0;10600
8847267;10591953;924314;1279804;5321825;5127;0;10800
9212379;11044406;984799;1322290;5571824;4211;0;11000
9495215;11363252;986082;1370734;5700363;5310;0;11200
9790624;11733613;1030821;1420570;5927170;7934;0;11400
10163426;12168731;1067258;1468163;6112289;8300;0;11600
10586643;12650847;1100644;1518168;6323226;6348;0;11800
10886935;13015042;1133236;1570263;6537459;5005;0;12000
11261141;13470120;1169003;1625007;6759443;5066;0;12200
11653962;13936488;1209469;1679955;6989423;6531;0;12400
12004974;14348779;1231748;1731757;7176679;8057;0;12600
12374236;14802574;1285946;1786045;7430523;8667;0;12800
12750639;15255088;1327633;1841377;7667461;7446;0;13000
13106046;15660299;1344357;1892822;7852031;2075;0;13200
13593898;16231526;1380307;1955325;8076334;7263;0;13400
13924952;16648639;1437497;2010689;8347879;9705;0;13600
14339013;17132524;1465389;2067778;8569924;9155;0;13800
14748559;17621659;1503964;2124222;8791542;8301;0;14000
15131064;18093704;1547969;2187854;9067726;6958;0;14200
15589559;18613417;1588802;2245671;9287757;6897;0;14400
16013997;19147778;1645931;2311838;9583838;8851;0;14600
16520527;19736949;1682857;2376937;9841527;9643;0;14800
16968767;20270578;1728878;2439987;10105565;8423;0;15000
17345964;20720589;1762813;2499503;10339451;7812;0;15200
17830948;21282355;1801631;2565301;10584018;9826;0;15400
18369704;21919011;1858149;2632766;10882357;9582;0;15600
18770094;22401737;1890925;2700200;11152071;10986;0;15800
19270764;23013613;1959406;2770235;11461824;11047;0;16000
19805125;23636658;2002558;2845396;11747956;10436;0;16200
20236154;24172790;2053706;2911313;12024933;10559;0;16400
20670052;24688230;2108210;2979683;12317352;10681;0;16600
21377692;25515865;2161249;3068149;12672819;11719;0;16800
22154606;26481439;2328486;3143730;13193081;9216;0;17000
22430973;26758904;2252924;3218956;13273526;10315;0;17200
22954348;27406241;2321039;3304970;13649990;12146;0;17400
23414308;27914541;2348138;3359525;13847682;11719;0;17600
24020202;28647753;2417352;3437180;14180810;13244;0;17800
24519285;29229296;2448724;3515715;14460473;13122;0;18000
24986020;29827988;2517205;3595868;14817589;13427;0;18200
25638240;30580549;2587213;3675831;15162497;12695;0;18400
26165826;31211834;2646416;3749921;15480063;14221;0;18600
26688958;31838663;2695977;3829360;15807210;12329;0;18800
27371818;32631570;2755181;3910694;16136800;11658;0;19000
27730458;33117591;2814629;3994643;16496784;15442;0;19200
28389942;33887853;2877739;4080004;16847064;14038;0;19400
29544480;35265596;2993095;4239304;17516130;13000;0;19600
37044949;43836069;4090687;4434833;19532237;230468;0;19800
33856359;40855059;4181264;4435500;19837656;294982;0;20000
32972938;39808552;3826712;4564928;19759776;264892;0;20200
32855629;39413717;3584219;4595947;19504772;135071;0;20400
33181372;39676290;3524955;4633830;19476635;95702;0;20600
33714819;40361835;3597342;4735096;19919749;103699;0;20800
34454136;41255205;3757132;4806244;20369638;85083;0;21000
34080357;40628375;3423026;4875114;20074106;17395;0;21200
34461521;41134050;3476798;4961847;20407479;18798;0;21400
35172761;41968032;3556326;5051044;20813789;18737;0;21600
35810272;42724317;3609976;5149466;21200202;16480;0;21800
36603056;43665232;3695364;5259325;21676703;13977;0;22000
38761558;46085148;3904225;5385987;22312076;20081;0;22200
41766678;49491999;4212452;5627804;23453249;19653;0;22400
39436423;46988283;3953664;5621777;23169069;17456;0;22600
40653155;48414793;4056691;5787873;23839661;10192;0;22800
40209613;47940612;4077321;5740571;23671997;18554;0;23000
41343828;49240474;4159230;5862410;24196471;18433;0;23200
41989090;50045343;4248585;5981412;24679868;18982;0;23400
42803174;51056388;4364735;6103906;25240597;18798;0;23600
43975473;52460986;4480091;6285608;25996332;18554;0;23800
44228281;52737413;4503346;6287733;26001643;21423;0;24000
