CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;INPUT
388243;449278;32043;46781;197997;0;0;100
553648;684141;60607;57466;256469;2258;0;105
481200;559508;40710;56658;242858;0;0;110
544798;632384;47363;63683;270813;1953;0;115
590087;681700;50659;68877;296081;0;0;120
644651;748106;59509;75446;330810;0;0;125
717833;835325;61401;83246;356750;0;0;130
783140;904356;67810;91001;388915;0;0;135
863218;997617;73486;98821;424560;0;0;140
945615;1089536;84046;109214;471495;0;0;145
1053037;1219235;92956;118897;510375;0;0;150
1143552;1323788;101379;129812;563109;0;0;155
1238217;1429806;105957;140648;605101;0;0;160
1350948;1563412;119080;152210;660948;0;0;165
1464901;1679866;125610;165438;705564;1342;0;170
1564205;1801387;137940;178304;768736;0;0;175
1695614;1953059;146179;191799;820127;0;0;180
1847529;2139154;164306;206991;895262;1465;0;185
1976313;2278070;174743;222356;960386;2320;0;190
2125056;2441888;185729;238342;1029111;0;0;195
2258173;2602106;199096;255518;1099667;0;0;200
3089470;3496939;277221;284975;1267697;0;0;205
2601983;2996025;226561;293105;1255612;0;0;210
2736504;3168632;246581;312564;1349301;0;0;215
2990776;3446890;261046;333775;1437375;0;0;220
3161918;3649832;272826;355019;1517391;0;0;225
3365898;3879446;293762;377383;1617428;0;0;230
3569693;4113026;312438;401266;1721553;0;0;235
3806020;4394398;334594;426037;1833186;1953;0;240
4028554;4649646;353820;452674;1951716;2136;0;245
4261219;4911975;376097;478580;2061762;1648;0;250
4502430;5196886;396301;506105;2172907;2380;0;255
4752002;5485338;418761;535653;2303339;2136;0;260
5071459;5844895;443358;566311;2434381;2686;0;265
5365831;6182357;467650;597447;2566095;1465;0;270
5652451;6519148;491576;629752;2706719;1892;0;275
6013778;6936933;529662;671468;2891350;1709;0;280
6252609;7209882;547118;699000;3008903;2380;0;285
6575362;7576946;573424;733639;3147575;2320;0;290
6863996;7922831;602294;771457;3312736;2930;0;295
7328839;8435525;628599;810949;3479544;2136;0;300
7606670;8753335;652403;850343;3632498;2136;0;305
8003092;9203224;680906;890834;3795340;1770;0;310
8345865;9606787;719297;932499;3994435;1892;0;315
8717080;10040257;752623;975870;4177480;2014;0;320
9243446;10631137;788694;1026682;4383228;1892;0;325
9592443;11039157;821898;1069246;4572681;4028;0;330
9867651;11382966;859617;1115146;4776233;4456;0;335
10457126;12034943;890012;1162686;4974231;2381;0;340
10911715;12563993;929136;1216483;5197923;4028;0;345
11395540;13108060;965513;1266798;5410691;3479;0;350
11891327;13685328;1003477;1319849;5629868;4638;0;355
12442595;14311853;1057554;1373825;5886337;3479;0;360
12884183;14841515;1098203;1429808;6131393;7690;0;365
13462673;15474997;1122189;1489543;6338302;5310;0;370
14081996;16186666;1171689;1550802;6620650;6530;0;375
14424524;16612018;1222287;1607613;6866194;7873;0;380
15090172;17353471;1266842;1672724;7143598;7324;0;385
15717855;18067825;1310910;1734701;7392864;6469;0;390
16289082;18723584;1351620;1797922;7662517;6287;0;395
16894366;19427623;1410396;1870941;7984843;6287;0;400
17579300;20205820;1456112;1939781;8264627;5799;0;405
18263991;20987373;1517941;2013446;8584023;9095;0;410
18685255;21521124;1574336;2093585;8923745;7202;0;415
19424572;22330692;1612728;2153468;9178077;7019;0;420
20167673;23183168;1674617;2233785;9525366;8301;0;425
20988045;24114562;1732783;2309804;9850926;7996;0;430
21673529;24897825;1782832;2389740;10179600;8728;0;435
22425968;25771601;1840266;2469593;10519260;10620;0;440
23226747;26691948;1911861;2551309;10894686;7324;0;445
24213317;27812795;1981440;2643037;11289888;9399;0;450
26243219;30065902;2174555;2799554;11979583;9948;0;455
25567805;29378404;2111201;2813960;12017791;1892;0;460
26430108;30363020;2175898;2910858;12396514;11048;0;465
27205557;31259686;2242609;2995757;12772123;10070;0;470
28030751;32206522;2299677;3093486;13155240;11536;0;475
28930468;33237402;2382745;3192210;13584438;8911;0;480
29814560;34247349;2444452;3284160;13977564;10010;0;485
30695783;35258577;2518121;3388284;14413843;9887;0;490
31602458;36330961;2607293;3498974;14894127;11353;0;495
32751808;37607997;2672722;3608353;15324546;12329;0;500
33582861;38582055;2751824;3712713;15767416;10987;0;505
34497165;39619527;2815911;3820230;16154683;12634;0;510
35674897;40984819;2913445;3946922;16738604;13611;0;515
36714261;42178908;3008964;4060833;17201006;13794;0;520
38067529;43681590;3073356;4185465;17735124;12939;0;525
39165182;44921394;3159355;4294644;18231338;4029;0;530
40229084;46184635;3284049;4418358;18775525;11047;0;535
41507279;47623413;3363944;4551892;19328869;13732;0;540
42648451;48943357;3468558;4686580;19892466;14038;0;545
43902842;50375176;3579458;4813454;20462533;15319;0;550
45168830;51820546;3669729;4947516;21036506;15930;0;555
46478030;53334459;3791250;5096914;21671148;17334;0;560
48238768;55299724;3913381;5251169;22308781;15991;0;565
49252864;56499917;4035756;5371084;22867251;14892;0;570
49784418;57178015;4120595;5481984;23338746;18188;0;575
51813222;59429413;4233571;5666492;24103820;10986;0;580
53195116;61034390;4351551;5823120;24731504;19227;0;585
54529219;62562889;4462940;5952474;25324032;18616;0;590
55978556;64247394;4608570;6128448;26104975;17517;0;595
57456823;65932265;4729175;6282830;26768670;20141;0;600
