CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;INPUT
5426317;6032089;479491;396120;1847285;3112;0;800
6038620;6708235;491209;440700;2008600;1892;0;832
6826764;7588726;609495;493483;2268061;0;0;864
7561382;8390360;628295;547730;2527947;2014;0;896
8648721;9594519;767576;606858;2815910;2441;0;928
9599584;10695041;1000120;678235;3211722;3662;0;960
10357761;11501558;919004;738274;3456656;2136;0;992
11758088;13257961;1642268;838574;4040700;4944;0;1024
12959318;14515039;1519588;908234;4369191;4395;0;1056
13764369;15351157;1395565;974593;4622302;4150;0;1088
15588156;17407548;1716793;1072927;5159655;5554;0;1120
16807330;18808973;1958186;1161770;5600816;4577;0;1152
17819352;19919749;1943659;1252107;6003220;7446;0;1184
19273937;21564947;2139155;1372319;6553145;5188;0;1216
21837224;24599851;2956475;1512081;7415692;4577;0;1248
22651736;25212277;2276483;1566452;7413739;6958;0;1280
24614989;27584646;2913200;1717522;8314737;7629;0;1312
26155023;29212328;2848809;1830331;8751991;7263;0;1344
28870470;32242898;3255179;1972647;9496497;6287;0;1376
29643356;33133094;3205559;2100400;10020544;8789;0;1408
33034462;36865933;3689260;2247605;10823031;6409;0;1440
34880037;39055808;4116017;2411134;11667878;11658;0;1472
38167138;43061779;5393846;2623173;13006619;9949;0;1504
38793968;43061352;3683950;2672149;12613066;0;0;1536
44036448;49632075;6137558;3009168;14890464;10986;0;1568
44574288;49821162;5050219;3074545;14791588;10682;0;1600
50242730;56783363;7474774;3408315;17035662;10070;0;1632
49817317;56043496;6443465;3493813;17058855;11291;0;1664
55275432;61987879;7090497;3715744;18205764;12268;0;1696
57541723;65236283;8791298;4020402;20065317;15624;0;1728
59421174;68087899;10062474;4463151;22431400;15869;0;1760
62067712;71147767;10630526;4663757;23351869;15808;0;1792
64113362;73032711;9738744;4832612;23809204;16846;0;1824
67126354;75987660;9181923;4973116;24186706;15137;0;1856
71697571;81253027;9991430;5329278;25903376;16052;0;1888
73086421;82655490;9719274;5456715;26372613;10559;0;1920
81174414;93179754;14158777;6113629;30770062;17883;0;1952
81277868;92466255;12041595;6127051;30044479;22094;0;1984
85509730;96608151;11131380;6359284;30713789;19165;0;2016
92612068;105948887;16032979;6992048;33963414;20202;0;2048
95645080;109626978;16122883;7248994;36234526;21972;0;2080
99268666;113457718;16033040;7507875;37148159;23743;0;2112
104488258;118689638;15079307;7842203;38261926;23132;0;2144
107363800;121886467;15409751;8042667;39187643;4882;0;2176
116403083;133654504;20244394;8836893;44274606;25024;0;2208
119838012;137311477;20044260;9128462;45465338;25634;0;2240
124910752;142638673;19758800;9444957;46812990;27954;0;2272
129665195;148274523;21082954;9835790;48524778;29053;0;2304
136810562;157209253;24053100;10401102;52268115;32775;0;2336
139236704;159496662;23252749;10605580;52886156;7568;0;2368
148255297;169803765;24700255;11253533;56004190;34790;0;2400
152985021;175095316;25147457;11622601;57662389;32959;0;2432
158484519;180366787;23535279;11991426;58610629;36437;0;2464
