CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;INPUT
4543995;5174242;325805;503312;2093257;5738;0;6800
4086110;4658191;269347;470747;1920405;1831;0;6832
4100393;4692553;286193;472769;1954036;4699;0;6864
4176809;4778796;288330;481440;1985591;2014;0;6896
4375538;4990527;301330;500939;2066279;3540;0;6928
4203297;4806629;288452;487129;1999750;1831;0;6960
4253224;4857836;289916;491065;2020198;2685;0;6992
4276661;4888476;293639;492582;2029841;2563;0;7024
4437611;5071459;304931;513635;2117975;1770;0;7056
4506458;5141467;302062;518782;2127375;2381;0;7088
4557362;5206407;319457;518280;2152217;1831;0;7120
4508229;5143480;298888;520401;2128535;0;0;7152
4485889;5128465;306640;518646;2137079;2380;0;7184
4493152;5143237;312926;518966;2144892;1525;0;7216
4572559;5224840;319091;528274;2181269;1770;0;7248
4589283;5239123;307006;529777;2166742;1465;0;7280
4654773;5317491;314758;536352;2204523;2197;0;7312
4769519;5448106;320922;549084;2255183;2014;0;7344
4741321;5400499;317809;546806;2240656;977;0;7376
4688098;5362963;326171;540514;2231196;2075;0;7408
4796130;5484483;333862;559687;2310663;2014;0;7440
4905017;5600205;332457;565556;2324884;2075;0;7472
4929308;5627000;330932;570865;2343744;2136;0;7504
4877307;5577867;327575;564473;2312921;488;0;7536
5084826;5815537;348510;587387;2419489;2197;0;7568
5029772;5749680;344237;582865;2395563;2258;0;7600
5057909;5775131;346313;583384;2407281;1587;0;7632
5094958;5818955;347961;587069;2415277;2197;0;7664
5168871;5893723;343078;596246;2444086;1953;0;7696
5267503;6005783;350097;606940;2480767;2930;0;7728
5254442;5999008;359435;605428;2496637;1709;0;7760
5220446;5974777;362364;601766;2487725;1831;0;7792
5281115;6026595;353881;609004;2495416;1526;0;7824
5237169;5980880;359374;605521;2494317;2014;0;7856
5508531;6290755;374877;629361;2596124;2076;0;7888
5423448;6213668;368834;627986;2580316;2564;0;7920
5437608;6210006;372191;627938;2586419;1831;0;7952
5545762;6334700;380187;632632;2602166;4028;0;7984
5486253;6275924;377014;633448;2609125;2991;0;8016
5665696;6459700;379149;651622;2672540;2929;0;8048
5760666;6563948;376280;661256;2697076;5188;0;8080
5738938;6548628;384094;661778;2715936;2930;0;8112
5733262;6547896;385619;662655;2714776;2075;0;8144
6073715;6915815;387389;690297;2808648;2381;0;8176
6163009;7007917;394836;700018;2852165;2075;0;8208
5833115;6663436;395446;672703;2764031;2747;0;8240
5822801;6645796;390624;670688;2749200;1709;0;8272
5936691;6777021;397643;683686;2800591;2563;0;8304
5917404;6761213;405273;681358;2807549;2320;0;8336
6039047;6890485;405883;695206;2855217;1648;0;8368
6014389;6873213;414916;691891;2852898;5188;0;8400
6039353;6899031;414977;697187;2876640;2076;0;8432
6173690;7051496;420409;714433;2937798;1892;0;8464
6162094;7042951;422118;712956;2932488;1953;0;8496
6201705;7080731;424132;714511;2939689;1893;0;8528
6214157;7106488;438780;714989;2971733;2075;0;8560
6407333;7314617;434752;735941;3030571;1587;0;8592
6391341;7306988;435301;737617;3032402;4333;0;8624
6352156;7260419;426208;731091;3002800;1831;0;8656
6429427;7354351;448730;739471;3059318;4272;0;8688
6450606;7367351;434996;743623;3050041;1831;0;8720
6601179;7549419;469542;753821;3128960;4089;0;8752
6571211;7501629;437071;760369;3105094;1954;0;8784
6609114;7566143;461546;763129;3151908;3662;0;8816
6681624;7627422;453368;771504;3170280;2075;0;8848
6815352;7772686;457518;782084;3208244;1526;0;8880
6865033;7833354;456969;791221;3235588;1709;0;8912
6863752;7829143;462035;788034;3234428;2502;0;8944
7069745;8059122;467467;811290;3316397;4212;0;8976
6903669;7882365;463683;796723;3259391;2136;0;9008
7024091;8021525;481017;807687;3323600;3906;0;9040
6931501;7917582;471190;798888;3288322;1526;0;9072
7105512;8103373;470336;819020;3349906;2014;0;9104
7101056;8107706;478697;816540;3352470;4029;0;9136
7083661;8086466;477293;817778;3349295;1648;0;9168
7225445;8247720;486266;830640;3410147;1831;0;9200
7284588;8341226;516539;836884;3471000;6165;0;9232
7243939;8266825;489135;835049;3422476;2075;0;9264
7366986;8424234;502928;846704;3487296;4150;0;9296
7317486;8355997;490172;842768;3452689;3662;0;9328
7434368;8469155;484679;854320;3485465;1709;0;9360
7411175;8471597;501890;851439;3492728;3723;0;9392
7617595;8702615;514586;877955;3604849;4394;0;9424
7500836;8565530;504272;863267;3541250;1465;0;9456
7615337;8675454;499938;877487;3576040;0;0;9488
8144449;9261695;523192;877159;3607595;1770;0;9520
7659831;8767311;534606;882030;3642813;5188;0;9552
7737285;8834145;524168;888371;3645437;5493;0;9584
7982523;9109474;534911;920058;3767751;1587;0;9616
7847330;8948036;519469;902896;3688834;2197;0;9648
7898356;9018715;528136;910088;3729849;4516;0;9680
8051737;9205054;560729;922360;3814627;3906;0;9712
7954203;9078468;534361;917025;3751028;3845;0;9744
8096842;9246314;546569;931295;3825063;2014;0;9776
8138590;9286719;545348;934724;3835134;1954;0;9808
8223611;9393408;559752;944041;3886464;3417;0;9840
8144877;9314735;563414;941165;3880178;3906;0;9872
8480753;9672522;570433;972555;3988271;4028;0;9904
8362344;9543188;556945;957647;3922414;4211;0;9936
8460611;9653234;563475;973190;3978750;1954;0;9968
8517129;9720678;584227;972638;4009816;2441;0;10000
