CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;INPUT
21357367;23839111;1570858;1723725;7687236;7019;0;800
24544066;27529959;2100825;1946283;8989540;7751;0;832
27943898;31188580;2144648;2228003;9994481;8179;0;864
29176988;33392370;3668569;2486930;11821259;8728;0;896
33762731;38249474;3365348;2875235;13342312;11658;0;928
39710714;44849555;4117421;3170583;14927696;12329;0;960
44642708;50112420;4004812;3555402;16409199;13427;0;992
59053804;71987975;15424765;5837205;29105028;21728;0;1024
54931927;62109033;5878525;4390406;20733223;16907;0;1056
60462492;68375863;6556502;4812552;22735842;16968;0;1088
63358175;72163145;7185101;5404125;25412044;17700;0;1120
68460091;79307963;10633823;5901897;28563709;16175;0;1152
76440356;87439290;9583959;6504572;31008832;13549;0;1184
82556734;95063050;11670868;7056567;33914280;23316;0;1216
90684643;104303383;12600736;7766707;37295498;22155;0;1248
96590146;116897345;23299256;9266650;46429812;30152;0;1280
113540908;128471412;12500640;9047258;42849866;31677;0;1312
122917776;140088142;15772359;9834348;47132814;29358;0;1344
125087570;143190918;15897359;10693674;50842766;20568;0;1376
143501708;167142028;25498592;11765887;57979954;31189;0;1408
144504025;167245788;22339176;12433230;60164031;35400;0;1440
154614411;180370144;26631829;13420244;65486404;42786;0;1472
166567689;193778861;27881337;14384223;70025090;37170;0;1504
213073002;266254567;62999778;23463566;117974246;61707;0;1536
190127626;219938097;29098070;16403907;79295024;51819;0;1568
217205438;252622949;38104211;17783429;87547078;28931;0;1600
218148733;255166827;39253745;18981318;92915717;51574;0;1632
249514559;295549598;52669543;21268960;106338107;57129;0;1664
245045454;287268125;45370673;21368749;104936193;31494;0;1696
281297497;329992136;54851971;23281479;115841928;62927;0;1728
279206378;327953018;53158433;24331834;119973570;69214;0;1760
315616013;386645007;82912508;31772946;159624347;7996;0;1792
313333854;368404880;60259246;27417739;135326924;78064;0;1824
332998781;397737141;74652824;30028545;150389141;63232;0;1856
