CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;INPUT
45877507;55437663;9847997;5480615;25363888;16480;0;18000
46661685;56401101;10061681;5577450;25782466;17517;0;18100
47139772;56982947;10192662;5638592;26090143;16601;0;18200
47767945;57756871;10330906;5733417;26562127;14282;0;18300
48070556;58134678;10380528;5779715;26760735;17089;0;18400
48959286;59232270;10637179;5880647;27308097;19349;0;18500
49746516;60206999;10842563;5972220;27732595;18738;0;18600
50286309;60859890;10959201;6055543;28079457;18616;0;18700
50765495;61466701;11057467;6131366;28498340;18493;0;18800
51608694;62471398;11268343;6217724;28953112;17639;0;18900
52376636;63394064;11438630;6308193;29365099;17700;0;19000
52999498;64167927;11575348;6385496;29777329;18371;0;19100
52498035;63428670;11259858;6305128;29195543;0;0;19200
54354109;65797195;11893158;6546449;30395735;23926;0;19300
55136760;66803906;12102935;6669278;31077008;20324;0;19400
55758158;67528147;12229583;6728520;31266033;25879;0;19500
56309121;68246225;12370879;6825285;31787943;20813;0;19600
57058142;69120794;12556669;6895848;32049784;17822;0;19700
58019443;70328250;12796415;7013995;32750405;23682;0;19800
58561313;70951967;12896940;7086940;32946388;21545;0;19900
58052037;70352725;12782987;7048984;32832801;4333;0;20000
60269072;73042660;13313077;7299862;33922276;21118;0;20100
60877530;73775873;13453335;7357984;34401706;22827;0;20200
61584743;74650322;13603359;7449250;34784823;25635;0;20300
62143212;75279349;13692653;7496776;34847018;21423;0;20400
63198813;76634081;14031459;7657560;35836822;24109;0;20500
63880940;77469345;14181971;7745497;36099394;26550;0;20600
64569781;78263533;14285181;7822325;36558867;14893;0;20700
64817949;78551191;14306482;7849677;36496122;26612;0;20800
66256239;80348000;14733483;8022329;37531642;23804;0;20900
66808545;81050635;14926170;8107272;37867884;26123;0;21000
67753427;82132053;15034874;8191344;38296472;20813;0;21100
68034372;82517184;15105857;8249875;38630944;22277;0;21200
69376470;84126311;15426962;8398855;39282981;25146;0;21300
69836919;84678921;15518332;8479456;39624533;2075;0;21400
70809267;85892542;15780172;8588365;40235188;24537;0;21500
71126466;86282189;15853597;8629864;40410236;27282;0;21600
72350095;87752339;16181904;8770483;40836809;28564;0;21700
72957089;88514421;16302876;8849777;41437882;27893;0;21800
73765619;89488175;16486347;8941020;41822647;28076;0;21900
74482903;90360731;16599750;9057518;42315810;18982;0;22000
75649526;91778879;16918963;9162038;42928479;26795;0;22100
76319995;92625007;17100115;9254273;43398021;28137;0;22200
77330796;93816044;17294878;9363382;43851328;29236;0;22300
77419358;93891849;17250016;9383610;43865488;31067;0;22400
78844158;95700133;17715775;9566465;44859322;28625;0;22500
79431926;96358945;17767106;9637098;45227057;9948;0;22600
80423439;97587946;18027847;9753222;45701971;30700;0;22700
81138342;98477959;18184585;9862073;46154240;30884;0;22800
82365329;99898060;18424147;9962090;46563724;30761;0;22900
84558682;102925212;19448009;10212900;47875610;79590;0;23000
85610132;104049294;19317150;10320979;48311278;79284;0;23100
84653104;102735271;19029370;10245355;47837219;32653;0;23200
85944299;104257912;19319225;10389922;48524229;29541;0;23300
