CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;INPUT
1299435;1507016;182128;126886;588988;0;0;800
1447445;1686825;220642;141018;656798;0;0;832
1615840;1896113;264770;157405;737608;0;0;864
1804622;2122675;314513;176477;838072;0;0;896
1964716;2330316;366576;196383;934507;0;0;928
2250055;2674065;432494;222099;1067136;0;0;960
2495416;2969475;491698;247432;1189511;0;0;992
2639947;3151053;511351;264446;1262936;0;0;1024
3059197;3658255;634031;304409;1467586;0;0;1056
3471366;4137318;725828;337592;1626400;0;0;1088
3612235;4357960;795042;368677;1779292;0;0;1120
3980336;4809435;888303;405638;1955134;0;0;1152
4419056;5327440;980100;445075;2148371;0;0;1184
4799915;5791673;1076597;484423;2342523;0;0;1216
5085620;6181381;1186337;524209;2533929;0;0;1248
5506639;6686384;1291135;570277;2763420;0;0;1280
6086105;7370709;1405758;617180;2984917;0;0;1312
6569319;7964152;1526851;666785;3229301;0;0;1344
7010602;8515359;1660091;712098;3451163;0;0;1376
7644573;9277381;1786433;780282;3777822;0;0;1408
8074565;9827489;1931819;833120;4037770;0;0;1440
8546121;10419101;2060969;887631;4302357;0;0;1472
9160926;11178683;2223749;949838;4603687;0;0;1504
9532813;11609101;2260859;990224;4795520;0;0;1536
10373509;12671354;2539178;1077937;5228380;0;0;1568
11325227;13786037;2720696;1155782;5607347;0;0;1600
11772919;14378687;2890922;1224651;5942367;0;0;1632
12776701;15564841;3084831;1304494;6325363;0;0;1664
13850795;16822527;3301933;1409864;6817915;0;0;1696
14358606;17492265;3478202;1463321;7096845;0;0;1728
14866478;18184341;3681936;1548153;7517436;0;0;1760
16310566;19869883;3898184;1681331;8159525;0;0;1792
17102679;20907661;4141774;1800612;8749977;0;0;1824
18021133;22025334;4366444;1899276;9221473;0;0;1856
18983960;23206056;4627185;1992440;9677832;0;0;1888
20186289;24601439;4848681;2076198;10080907;0;0;1920
21024909;25697688;5136950;2202524;10701816;0;0;1952
23035525;28042713;5408921;2390592;11614838;0;0;1984
23380006;28500049;5663132;2380802;11565767;3113;0;2016
23675415;28938341;5739183;2476949;12028656;0;0;2048
26396844;32165567;6286055;2730640;13264248;0;0;2080
29857712;35863922;6610945;2806872;13646327;0;0;2112
28124318;34392124;6877241;2936449;14271387;0;0;2144
29652450;36132598;7153546;3031085;14725243;0;0;2176
30496809;37312038;7514630;3186741;15478903;0;0;2208
31783244;38888633;7842326;3321609;16143147;0;0;2240
33252784;40677691;8185587;3472293;16870319;0;0;2272
36685209;44900642;8869911;3726814;18140151;93933;0;2304
37044827;45113105;8909218;3774469;18340529;0;0;2336
39672933;48514708;9547339;4049530;19694103;56762;0;2368
41442154;50910758;10118931;4351572;21148322;100464;0;2400
42964429;52395190;10257908;4314960;20989570;48278;0;2432
42366164;51853871;10478672;4421713;21492804;0;0;2464
43878977;53679367;10839022;4577760;22256718;0;0;2496
45845403;56085855;11323458;4780237;23230897;2747;0;2528
46800417;57163794;11398714;4848500;23560121;0;0;2560
50376885;61389796;12202300;5134606;24951413;0;0;2592
52299305;63755879;12677336;5338908;25954340;0;0;2624
53292405;65170549;13151211;5532984;26895744;0;0;2656
56398416;68709785;13646938;5743643;27923696;0;0;2688
57282385;70055363;14133326;5950581;28935412;0;0;2720
59379060;72625791;14648034;6180094;30048263;0;0;2752
61540248;75254629;15165855;6400185;31116314;0;0;2784
65085466;79333842;15745138;6641858;32282022;0;0;2816
66144301;80899207;16280110;6883589;33473364;3357;0;2848
68162118;83388092;16825945;7091728;34473850;0;0;2880
70723086;86479759;17397844;7352509;35743012;0;0;2912
72906186;89152726;17977127;7565094;36789945;0;0;2944
75581655;92438240;18595594;7869618;38262537;0;0;2976
78856854;96282164;19253735;8097175;39376181;0;0;3008
83750701;102777569;20492501;8663912;42123488;195374;0;3040
82162449;100332385;19924571;8491757;41278398;2380;0;3072
85651942;104755164;21095405;8896186;43255260;0;0;3104
88558001;108270475;21771978;9174955;44607247;0;0;3136
91171946;111479267;22419559;9454974;45976689;0;0;3168
95981749;116938971;23115115;9768033;47496643;0;0;3200
96673154;118224368;23797668;10030924;48778196;0;0;3232
99948414;122178704;24550108;10352235;50330743;0;0;3264
109586206;133598962;26105646;10951634;53331468;226990;0;3296
117838809;144009396;27757070;11797733;57381933;468870;0;3328
109846948;134217857;26858818;11348061;55179973;33752;0;3360
112585833;137628310;27619009;11644643;56612954;33264;0;3392
115915780;141513431;28233448;11915356;57961156;30517;0;3424
121465937;147905627;29146959;12322868;59923858;13367;0;3456
123474415;150525371;29838608;12562233;61130764;37109;0;3488
135616169;165285710;32030741;13443267;65502701;330200;0;3520
132337857;161983899;32297586;13636665;66338148;175048;0;3552
134443870;163430978;31758098;13537851;65812393;2258;0;3584
136727494;167052185;33399878;14135550;68737312;0;0;3616
140443732;171592213;34287998;14522083;70629641;0;0;3648
150679423;184604569;36317290;15759931;76559741;230773;0;3680
156016934;190534546;37330166;15726809;76627001;339110;0;3712
152542701;186343944;37165554;15749559;76601306;46203;0;3744
156482692;191102233;38087549;16122713;78421674;51086;0;3776
161175003;196540207;38912559;16421148;79950479;51269;0;3808
168844844;204900965;39698262;16802704;81785496;9216;0;3840
168514950;205855003;41034319;17376752;84517422;49805;0;3872
172985886;211334298;42102492;17853780;86830100;51819;0;3904
177390721;216685053;43151989;18323513;89126542;45288;0;3936
186582225;226763335;44064401;18705427;91029491;54443;0;3968
186599987;227846890;45286749;19228554;93509221;58533;0;4000
