CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;INPUT
1315426;1485165;93994;133894;567076;0;0;4096
2431818;2767694;234008;222124;1020444;7263;0;4128
1332089;1514889;98389;141151;599119;0;0;4160
1397030;1582638;97839;143600;608519;0;0;4192
1379513;1578121;105408;145238;624266;2563;0;4224
1420590;1606564;98694;146922;616820;0;0;4256
1464535;1659358;107360;150108;638731;1648;0;4288
1466061;1653805;104309;150731;640562;0;0;4320
1503048;1705562;108093;157643;667174;0;0;4352
1519222;1716609;106506;154833;651610;1587;0;4384
1522885;1729183;106628;156230;658568;0;0;4416
1559445;1760432;112366;158329;675780;1770;0;4448
1574276;1783748;110657;160625;682310;0;0;4480
1591244;1797908;112121;161887;686033;0;0;4512
1624447;1841304;116821;166103;707395;2563;0;4544
1635372;1846064;110717;166966;697203;0;0;4576
1620785;1851680;125061;169557;734006;672;0;4608
1671200;1884761;114075;170977;715880;0;0;4640
1645687;1868709;120178;170484;722532;0;0;4672
1730220;1959040;126342;175336;750304;1770;0;4704
1672847;1899165;118164;174385;731626;0;0;4736
1981867;2249139;151062;199767;862180;0;0;4768
1861934;2107355;135071;181713;786192;1770;0;4800
1802730;2039545;123413;183383;767882;0;0;4832
1762081;1996576;127319;183058;775877;0;0;4864
1854915;2098383;134460;188663;807127;2503;0;4896
1868404;2100581;123351;189611;787291;0;0;4928
1898188;2145136;130981;192996;813169;0;0;4960
2042292;2314142;151916;207299;892759;2198;0;4992
1939693;2190179;132263;196542;821409;0;0;5024
1964839;2216059;133728;199001;833189;0;0;5056
2008540;2270991;141662;202935;861387;2563;0;5088
2006648;2268671;136780;208984;871702;0;0;5120
2043207;2299616;138550;206429;866392;0;0;5152
2021479;2293451;145691;209752;887143;2503;0;5184
2090998;2360895;143798;210383;885069;0;0;5216
2028742;2302973;143371;210261;883237;0;0;5248
2136225;2420282;150696;215409;913206;2868;0;5280
2163081;2453119;152709;218259;926877;0;0;5312
2193171;2479242;151062;220614;932798;0;0;5344
2143733;2446039;160461;221492;941526;1343;0;5376
2238825;2536126;158813;225024;955259;2197;0;5408
2369622;2668695;154541;238982;989683;0;0;5440
2273615;2563959;156860;229473;965757;0;0;5472
2319513;2628472;159912;232645;981198;1831;0;5504
2344049;2640924;155700;234714;974424;0;0;5536
2349054;2649652;159728;236932;994016;0;0;5568
2382562;2692132;166198;240476;1014158;0;0;5600
2327203;2636163;163512;239420;1002072;2258;0;5632
2424982;2736443;161132;243553;1009335;0;0;5664
2459406;2775872;164428;246593;1025998;0;0;5696
2491937;2803093;165527;248920;1034239;0;0;5728
2546381;2876091;177367;253705;1071774;2075;0;5760
2541803;2856072;168701;254261;1057675;0;0;5792
2565484;2880669;168762;256280;1067441;0;0;5824
2590081;2919488;169738;258885;1073362;0;0;5856
2661187;3002007;182129;263172;1105588;2563;0;5888
2661187;3011039;183837;266044;1117551;1526;0;5920
2672051;3015068;179749;266780;1116331;0;0;5952
2716118;3059196;184142;269907;1131894;0;0;5984
2722039;3077690;187133;272849;1146054;1342;0;6016
2768974;3122917;186035;275265;1149289;1892;0;6048
2851067;3207145;192321;281314;1181394;1831;0;6080
2813713;3169853;186950;280674;1171201;0;0;6112
2832817;3203483;190490;290095;1209897;0;0;6144
2869255;3229240;188171;285941;1185972;0;0;6176
2903740;3276359;199279;288763;1216305;1892;0;6208
2934929;3304557;200561;292541;1225704;2624;0;6240
2954216;3320304;197692;294645;1230039;976;0;6272
2988701;3359245;196533;297435;1233090;0;0;6304
3000176;3374991;199096;299756;1248837;0;0;6336
3039360;3431815;209777;302080;1271481;916;0;6368
3012565;3406363;208252;309153;1288021;1892;0;6400
3107963;3498587;209717;309435;1291317;2014;0;6432
3135673;3549002;217102;312074;1317623;1953;0;6464
3150809;3556875;210326;314107;1309750;0;0;6496
3177543;3576712;210204;316729;1318966;0;0;6528
3213493;3609426;210387;320385;1330441;0;0;6560
3261405;3665701;215759;324579;1351132;0;0;6592
3292044;3706167;222167;326455;1367306;2686;0;6624
3210014;3627738;227172;325490;1370846;1525;0;6656
3340690;3765127;228454;332557;1397335;1770;0;6688
3379874;3809621;228027;336322;1411495;2259;0;6720
3408194;3835806;228393;337593;1409970;1709;0;6752
3435111;3869070;229370;341192;1424374;0;0;6784
3455802;3894949;228087;343791;1429379;0;0;6816
3496085;3933034;228026;346504;1433163;0;0;6848
3523978;3969961;237182;349832;1465573;0;0;6880
3472769;3922231;237548;355382;1484372;0;0;6912
3591726;4037221;237243;356003;1483883;0;0;6944
3634207;4092275;244995;359119;1500728;2624;0;6976
3725333;4195179;256347;362678;1526852;1647;0;7008
3697439;4163807;247070;366243;1529904;1587;0;7040
3725271;4201466;252258;368457;1544430;2075;0;7072
3765310;4241505;251159;372878;1555110;2319;0;7104
3799246;4285389;255554;376511;1577267;2198;0;7136
3770193;4257619;256591;383787;1598812;2319;0;7168
3863821;4353871;258239;382294;1597897;1770;0;7200
3886159;4381398;263122;385757;1616207;1648;0;7232
3930288;4422291;263916;388402;1624141;1587;0;7264
3962942;4465198;267944;391879;1639828;2198;0;7296
3995229;4504688;268371;395190;1651119;1770;0;7328
4012502;4512439;266662;398391;1660335;1526;0;7360
4070363;4577564;270324;402590;1676509;2258;0;7392
4094960;4609669;273803;405421;1689570;2625;0;7424
4130666;4647449;272094;408177;1695369;1953;0;7456
4155507;4681141;280090;412057;1721675;2014;0;7488
4192800;4714954;276550;415319;1722957;1648;0;7520
4217336;4744128;273376;417500;1728572;0;0;7552
4255909;4780261;274474;420635;1739314;0;0;7584
4302235;4833544;278991;424404;1757198;1587;0;7616
4331044;4879016;286498;428659;1783748;2319;0;7648
4213124;4764331;290832;428148;1788204;1709;0;7680
4404103;4957324;291259;435774;1810543;2075;0;7712
4437427;4994738;295348;438511;1826961;1709;0;7744
4479542;5051989;297424;442891;1845455;1953;0;7776
4500843;5057910;296569;444205;1846553;1770;0;7808
4538624;5113513;301452;448053;1868160;2014;0;7840
4566700;5138476;298766;451461;1868770;1403;0;7872
4615711;5183153;303039;454687;1887568;1954;0;7904
4475697;5051806;302490;454643;1883234;0;0;7936
4692248;5268114;301207;461955;1904903;0;0;7968
4728931;5314683;308104;466843;1933772;1892;0;8000
4766163;5371508;318175;469972;1960444;2441;0;8032
4636524;5241503;315978;470515;1951716;2258;0;8064
4844104;5445420;318908;478156;1979732;1831;0;8096
4698169;5305406;320311;476488;1978327;2502;0;8128
4743946;5352037;322204;479533;1995906;1587;0;8160
4854968;5447373;314147;471961;1952266;0;0;8192
