CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
105261327;131481963;25779719;10750530;16967;127;32768
97158321;121172236;23698914;9856488;15136;127;33792
90473523;113005936;22146001;9237865;15625;127;34816
113605361;141538090;27668509;11464572;17028;127;35840
95008179;118455080;23115114;9614137;16052;127;36864
118202518;148261217;29720139;12311857;20141;127;37888
95627562;121673517;25363156;10644878;17639;127;38912
103652567;132783779;28625781;11908227;13672;127;39936
102479535;132928981;29718552;12401646;20141;127;40960
107901152;139201792;30599348;12764205;18555;127;41984
109338770;142400026;32149026;13450767;22034;127;43008
110915488;143585631;31963236;13318334;21851;127;44032
99757435;129744419;29251512;12205516;20447;127;45056
125951643;163575570;36923734;15318680;23803;127;46080
119476440;154402925;34095921;14242779;23865;127;47104
118812684;155202361;35279695;14801228;16967;127;48128
125160386;161304518;35405122;14747735;24658;127;49152
113461380;146845144;32611489;13607742;21850;127;50176
129504673;167144653;36866482;15351375;27160;127;51200
117425603;153023289;34345859;14512265;17029;127;52224
145221613;188835881;42638013;17760371;29175;127;53248
123128896;159836871;35501740;14946523;23255;127;54272
137261489;179154083;40558063;17042442;29053;127;55296
126281293;164309821;36862089;15508476;10193;127;56320
141239262;184150041;42042128;17440584;28748;127;57344
156542141;205655052;47882690;19929892;35279;127;58368
137894117;182190635;43389232;17977207;23377;127;59392
157174708;207768938;49414180;20511389;35828;127;60416
126534466;168259457;40736102;16911104;28565;127;61440
144240537;191140074;45994511;19015055;27039;127;62464
141909976;190721863;47434143;19733934;32837;127;63488
149204330;197828473;47609437;19704956;32410;127;64512
144712642;194124503;48336546;20001148;26367;127;65536
