CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
1667904;2374932;491331;294631;244;127;1000000
3202568;4387501;884397;493931;915;127;2000000
141296;151672;19715;15788;549;127;3000000
84351;111877;15991;12582;0;127;4000000
89416;134704;21545;13650;122;127;5000000
90454;128356;20019;14223;428;127;6000000
83313;107117;16724;14785;244;127;7000000
76050;105346;16724;12524;0;127;8000000
102295;133544;22156;12911;427;127;9000000
94909;108947;21057;13996;122;127;10000000
79224;104370;16846;12178;0;127;11000000
80444;138183;20446;12899;122;127;12000000
99731;126709;25085;15733;488;127;13000000
91613;102295;15870;13738;122;127;14000000
81298;120788;20081;12716;183;127;15000000
81420;134887;25147;13764;184;127;16000000
106933;123779;23803;14091;305;127;17000000
78918;108093;17150;14155;306;127;18000000
79163;114197;20447;13568;427;127;19000000
82397;133606;25024;13570;122;127;20000000
102599;131897;23559;14336;366;127;21000000
79895;102172;16053;13849;0;127;22000000
92712;125915;20630;12945;183;127;23000000
102356;137023;24780;13077;366;127;24000000
102844;115723;23377;14076;366;127;25000000
76233;103760;15564;12614;0;127;26000000
86792;129394;19592;13392;366;127;27000000
105712;137512;22888;13639;488;127;28000000
80322;108276;16479;14268;0;127;29000000
79712;108825;16785;12719;122;127;30000000
131957;147766;25512;13606;244;127;31000000
98327;114440;18616;13795;183;127;32000000
73974;114379;16053;12417;61;127;33000000
81726;143066;24047;12649;183;127;34000000
98389;115845;22034;14858;366;127;35000000
87707;108337;16052;13152;0;127;36000000
86426;118469;19287;13222;488;127;37000000
97900;130676;22705;14314;489;127;38000000
89660;102112;14892;14356;183;127;39000000
75012;120239;15686;12525;0;127;40000000
82824;131713;25086;13964;366;127;41000000
99854;139160;23316;13600;366;127;42000000
77209;104797;15381;14098;0;127;43000000
77820;117431;17700;13417;183;127;44000000
106506;119201;22095;13955;611;127;45000000
103088;106995;20569;15112;427;127;46000000
83862;116882;17090;12618;0;127;47000000
85449;141967;21484;12727;183;127;48000000
96862;126464;21606;14496;366;127;49000000
87829;117127;17701;14692;305;127;50000000
78369;105530;17456;13415;244;127;51000000
85144;143677;23559;13056;244;127;52000000
91125;122009;21240;14575;305;127;53000000
82885;109374;17273;13254;123;127;54000000
78796;104248;15136;12467;244;127;55000000
104797;125793;21545;13869;428;127;56000000
79407;101257;17212;14217;122;127;57000000
84106;124817;20020;12765;183;127;58000000
101440;124145;21972;14031;366;127;59000000
109680;107177;17212;16184;549;127;60000000
76782;105224;15991;12589;0;127;61000000
79834;128113;22766;13160;244;127;62000000
103088;127258;22095;15352;488;127;63000000
101989;115539;21301;15254;366;127;64000000
74767;105957;16907;12664;0;127;65000000
80200;134522;19653;12895;245;127;66000000
105835;118591;21606;14615;549;127;67000000
87830;104126;17151;13877;183;127;68000000
80200;110839;16784;12745;0;127;69000000
100585;136475;25330;12895;366;127;70000000
96924;116821;20874;14183;183;127;71000000
84167;117553;17334;12299;0;127;72000000
81055;131652;17456;12933;244;127;73000000
99426;131042;22705;14292;610;127;74000000
95398;110840;17273;13289;183;127;75000000
79650;118225;17090;12352;244;127;76000000
97290;123413;21545;14045;488;127;77000000
101074;101318;22705;14428;427;127;78000000
72570;108460;16907;12670;0;127;79000000
80932;124206;19714;12719;305;127;80000000
88623;114440;20141;14636;428;127;81000000
97717;105163;15441;14567;366;127;82000000
73242;106017;16053;12732;0;127;83000000
91003;146850;25391;13079;488;127;84000000
95520;129150;21912;14019;306;127;85000000
80627;99304;14709;11841;0;127;86000000
81665;108947;17395;12772;244;127;87000000
117675;156372;28870;15364;611;127;88000000
88928;107421;17700;13969;122;127;89000000
75501;109680;15381;12278;0;127;90000000
74096;133545;19653;12805;244;127;91000000
97717;122619;23377;14327;427;127;92000000
77881;101562;15808;13539;0;127;93000000
91491;117675;19654;13704;732;127;94000000
114197;137756;26062;13086;306;127;95000000
87647;101379;18738;14790;305;127;96000000
73425;107727;16662;12300;0;127;97000000
91736;127930;24597;13348;488;127;98000000
97351;126037;23438;14830;367;127;99000000
76721;104858;15931;12222;0;127;100000000
