CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
84533;114013;15808;13284;0;127;1000
89905;120239;18005;14383;0;127;2000
100097;122742;17456;14587;0;127;3000
100036;132629;18311;15080;0;127;4000
103516;139465;18920;15805;0;127;5000
101012;141174;22827;17030;0;127;6000
115478;155028;21424;16877;0;127;7000
109985;143921;21302;17703;0;127;8000
114074;162842;23559;18075;0;127;9000
127074;180969;24902;19391;0;127;10000
126342;172424;23071;19724;0;127;11000
133606;181885;27832;22647;0;127;12000
135498;188599;24780;20549;0;127;13000
137206;191406;28015;21661;0;127;14000
150390;203552;28747;22660;0;127;15000
147827;200928;28686;22559;0;127;16000
162597;214477;30457;23301;0;127;17000
163512;221679;32592;24294;122;127;18000
170348;216857;31616;24501;0;127;19000
158874;216674;34119;25272;0;127;20000
174072;232360;33570;25447;0;127;21000
179077;243834;37415;26764;0;127;22000
185241;253112;37659;27155;0;127;23000
184265;253539;40162;29039;0;127;24000
190551;260863;41138;28805;0;127;25000
202148;278503;43213;29540;0;127;26000
219849;283568;45471;30163;0;127;27000
215820;290832;45593;31263;0;127;28000
250304;341491;55725;35937;244;127;29000
230529;321166;50842;33672;0;127;30000
239502;319518;51758;34236;0;127;31000
247130;329894;53162;34499;0;127;32000
247191;326049;53284;34983;0;127;33000
270079;366698;59326;37767;0;127;34000
261962;356505;56030;36891;0;127;35000
267272;353332;59143;38050;0;127;36000
261596;348144;59937;38536;0;127;37000
270385;362487;66650;40998;0;127;38000
284484;368102;60669;39335;0;127;39000
289001;391661;65002;40834;0;127;40000
297973;383849;64270;40474;0;127;41000
302185;391600;64819;41141;0;127;42000
307311;401976;67687;42604;0;127;43000
302123;404052;70130;43745;0;127;44000
319641;424438;69885;44064;0;127;45000
342101;444701;75439;46573;244;127;46000
328857;447631;79712;48281;0;127;47000
346740;460509;77697;47132;244;127;48000
327391;444030;74768;46838;0;127;49000
334594;441955;75928;47052;0;127;50000
352111;462829;77942;48409;0;127;51000
368835;481810;79284;49500;0;127;52000
358520;479675;79345;49100;0;127;53000
374754;489317;84106;51686;0;127;54000
360472;485717;81787;50686;0;127;55000
376158;502074;84350;52286;0;127;56000
370422;493224;83984;53038;0;127;57000
427001;581542;110779;60905;0;127;58000
410827;553038;105957;59491;0;127;59000
403625;525939;88623;55111;0;127;60000
404418;526244;90576;55544;0;127;61000
401732;534911;90942;56058;0;127;62000
424254;565855;100951;59399;0;127;63000
417663;547118;91919;57022;0;127;64000
422973;562926;93505;57750;0;127;65000
441222;577452;99609;60639;0;127;66000
428038;564940;98694;60330;0;127;67000
442260;598692;103942;61901;0;127;68000
451476;613341;110962;64352;0;127;69000
464171;605040;105407;63301;0;127;70000
447509;599668;102234;62526;0;127;71000
461180;613462;107361;64034;0;127;72000
481628;637023;110717;65402;0;127;73000
534849;713987;137268;74012;305;127;74000
480285;633300;106689;64629;0;127;75000
498229;659910;113281;67699;305;127;76000
482604;628844;107360;66143;0;127;77000
518981;674254;118286;69287;244;127;78000
496336;663267;110717;67405;0;127;79000
522581;700194;129761;72885;0;127;80000
529540;696654;128051;73207;0;127;81000
537840;728330;142578;78965;0;127;82000
520567;684874;119019;71416;0;127;83000
533202;724486;136657;77830;0;127;84000
523192;692748;119873;72378;0;127;85000
527953;697508;119446;72378;0;127;86000
562986;741881;137695;78307;0;127;87000
549071;727476;124267;74881;0;127;88000
550780;725096;124512;76070;0;127;89000
560119;744200;130371;78404;0;127;90000
546202;729735;128052;76588;0;127;91000
585386;782469;146118;84191;0;127;92000
612852;814817;151000;83970;244;127;93000
590086;781431;132141;80125;0;127;94000
585264;767576;133484;80135;0;127;95000
626708;840697;162414;89038;0;127;96000
589720;775510;134643;80861;0;127;97000
616270;814757;137206;82379;0;127;98000
644346;867979;171204;92944;0;127;99000
601805;799498;138611;83009;0;127;100000
607237;800107;140258;83944;0;127;101000
757322;1028135;223083;110684;183;127;102000
658202;879087;164001;92044;0;127;103000
628721;831053;144836;86337;0;127;104000
632994;837827;147766;88335;0;127;105000
616759;822264;143676;86622;0;127;106000
643736;852293;146179;88308;0;127;107000
659788;861692;149719;88682;0;127;108000
653379;863951;147461;88621;0;127;109000
644835;861631;147339;88835;0;127;110000
681272;900205;156067;91862;184;127;111000
674498;891599;155029;92149;0;127;112000
680907;891905;153625;91445;0;127;113000
674253;892209;152039;91566;0;127;114000
688231;910399;154967;92944;0;127;115000
698911;932798;165710;96689;0;127;116000
714964;956907;176574;100758;0;127;117000
771482;1031369;195800;107318;244;127;118000
754210;1004514;186096;104252;0;127;119000
718504;946958;166504;97717;0;127;120000
745542;991696;182129;103477;0;127;121000
739989;968870;164978;99059;0;127;122000
728270;968748;165526;98493;0;127;123000
739012;980588;166442;99780;0;127;124000
825926;1123532;236267;121973;366;127;125000
740416;975034;167480;100513;0;127;126000
845517;1144224;240417;123613;0;127;127000
756834;998777;170349;102368;0;127;128000
773497;1018063;182495;106479;0;127;129000
865720;1178342;249145;127799;183;127;130000
759580;1006529;173095;103887;0;127;131000
841429;1134152;230773;122509;0;127;132000
773619;1017515;175841;105288;0;127;133000
821593;1110653;223083;120746;0;127;134000
937742;1284360;287536;141170;183;127;135000
795835;1059385;184936;108844;0;127;136000
825315;1081845;196410;112955;0;127;137000
857724;1122799;191405;112575;0;127;138000
815794;1068295;183899;109639;0;127;139000
1339841;1716060;316223;159863;305;127;140000
855100;1123350;189941;113594;0;127;141000
888731;1176144;214538;119374;0;127;142000
870115;1173458;231506;125699;0;127;143000
857969;1126096;200378;117096;0;127;144000
953610;1260983;234435;127300;305;127;145000
917295;1230771;243286;130889;0;127;146000
1046201;1396603;290771;147028;0;127;147000
1272702;1684749;353819;168909;366;127;148000
1201840;1580379;309935;154725;0;127;149000
1321286;1726436;348632;167231;0;127;150000
1009946;1340511;255370;134763;0;127;151000
1177854;1561276;321655;158870;0;127;152000
1009275;1298886;226073;130010;0;127;153000
1333676;1766292;361327;174418;427;127;154000
1237606;1644893;319091;155964;0;127;155000
1311459;1718441;354247;173755;0;127;156000
1160215;1518185;280883;147145;0;127;157000
1357419;1784969;355407;175638;0;127;158000
1363217;1809687;376647;176416;0;127;159000
1376461;1818965;382018;182594;244;127;160000
1145994;1489193;273010;144696;0;127;161000
1154965;1546200;300414;159179;0;127;162000
1138791;1522274;295165;151392;244;127;163000
1270199;1681026;356567;173532;0;127;164000
1420590;1842524;359069;176376;0;127;165000
1500790;1944392;376159;184786;0;127;166000
1158871;1547359;327514;161957;184;127;167000
1171628;1583797;338195;166547;0;127;168000
1066586;1406918;268249;145746;0;127;169000
1969599;2433953;406249;194352;122;127;170000
1465634;1942927;421264;194811;0;127;171000
1157895;1540524;323729;162652;0;127;172000
1731929;2105036;302978;158142;183;127;173000
1942378;2380426;374572;182379;122;127;174000
1840693;2234919;342162;172043;0;127;175000
1349850;1762386;373351;178311;0;127;176000
1941585;2374323;372435;181812;428;127;177000
1921565;2345392;358459;178742;0;127;178000
2076716;2550531;416869;198680;0;127;179000
1796626;2221491;371765;183848;0;127;180000
1768794;2162592;304015;162014;244;127;181000
1926265;2359124;360107;182498;0;127;182000
1664364;2104059;398925;189977;0;127;183000
1990169;2434381;407348;190480;184;127;184000
1967646;2415155;403990;191851;183;127;185000
1419430;1849788;377746;182640;0;127;186000
1674434;2164179;446899;195652;0;127;187000
1381405;1839655;393493;186173;244;127;188000
1541683;2027095;439330;199515;0;127;189000
2172358;2612298;400817;195317;0;127;190000
2407587;2898430;441222;217556;0;127;191000
2231683;2758049;448607;229378;244;127;192000
1756343;2159540;344054;178237;0;127;193000
2212763;2650689;416625;198953;0;127;194000
2204584;2661859;408202;195797;0;127;195000
2215754;2703301;445128;208297;305;127;196000
1235287;1660823;345886;178851;0;127;197000
1229428;1618404;311095;168596;0;127;198000
1382137;1817073;363281;182915;0;127;199000
1854732;2390131;466490;223498;183;127;200000
2173945;2743951;480712;225204;0;127;201000
1470578;1952022;397765;199429;0;127;202000
1638789;2098689;396300;199890;0;127;203000
1509639;2036311;442321;211933;428;127;204000
1355649;1804561;367614;188482;0;127;205000
1298398;1745296;356384;184506;0;127;206000
1342465;1812313;380858;192248;0;127;207000
1458675;1980342;434081;209600;489;127;208000
1287350;1727717;331664;177971;0;127;209000
1477902;2010004;459410;216619;244;127;210000
1395749;1894221;411864;203149;305;127;211000
1290829;1732295;361267;188104;122;127;212000
1358883;1849177;379272;196374;0;127;213000
1411922;1891597;398558;199013;0;127;214000
2021662;2602532;522948;240796;2625;127;215000
1629757;2129694;406859;207839;245;127;216000
1617794;2060908;405638;208607;61;127;217000
3049980;3681509;641600;270332;61;127;218000
2802788;3458549;668090;270488;0;127;219000
2892327;3567618;660826;271569;0;127;220000
3409964;4055714;562559;273222;0;127;221000
2904168;3629690;717223;285950;0;127;222000
3450918;4196095;712035;309543;0;127;223000
1984126;2556818;502440;228513;0;127;224000
2219660;2841789;547850;259056;0;127;225000
1856075;2428766;501952;238330;0;127;226000
1741817;2316766;506346;237641;183;127;227000
2640679;3273856;572936;266441;305;127;228000
1671870;2233331;467284;226079;0;127;229000
2646661;3324332;637877;285171;3173;127;230000
2530084;3132316;474852;231253;732;127;231000
2005244;2623650;538817;253504;0;127;232000
1801814;2362360;476866;232982;0;127;233000
1888118;2425775;443176;218676;244;127;234000
1798519;2353082;481444;232800;184;127;235000
1757136;2367425;522338;247065;1037;127;236000
1632503;2220942;497557;239148;0;127;237000
1575191;2090021;410155;211662;0;127;238000
1939570;2570916;560484;261202;305;127;239000
1704280;2303156;507201;247459;305;127;240000
1485775;2014094;402526;211768;0;127;241000
1645626;2210932;472899;234055;0;127;242000
1582271;2124140;449462;228104;0;127;243000
1661556;2241388;484374;238210;244;127;244000
1668392;2283503;506407;247651;305;127;245000
1665707;2221796;440551;221618;0;127;246000
1494137;2020807;422302;219206;0;127;247000
1599544;2147577;439574;224317;0;127;248000
1502804;2002436;387145;209212;245;127;249000
1614376;2191340;488158;238083;305;127;250000
1525203;2052790;414305;216542;0;127;251000
1602718;2178888;473448;235858;0;127;252000
1654658;2240229;482848;242453;0;127;253000
1736446;2299372;512267;248987;489;127;254000
1689693;2290460;494811;246720;305;127;255000
1657527;2261835;508727;248211;0;127;256000
1585811;2150324;456664;233762;0;127;257000
1493832;2005793;385681;211316;0;127;258000
1638607;2231928;484557;240663;366;127;259000
1674129;2271845;493102;245973;183;127;260000
1647457;2225641;478942;239713;0;127;261000
1517452;2043024;395323;214923;0;127;262000
1439877;1900752;333251;196476;0;127;263000
1672298;2285578;510680;251320;305;127;264000
1573422;2119380;417663;223558;0;127;265000
1673396;2275202;491576;245835;183;127;266000
1651302;2278863;506529;250452;123;127;267000
1726497;2341913;490721;249537;305;127;268000
1795284;2438653;541014;262803;305;127;269000
1647945;2234614;469787;241053;0;127;270000
1642818;2221369;462950;238538;0;127;271000
1719173;2335748;508666;253923;0;127;272000
1778499;2432367;552550;265817;427;127;273000
1808040;2467340;569823;273123;428;127;274000
1622982;2195674;442199;234342;305;127;275000
1848262;2540581;581541;281211;0;127;276000
1736140;2387017;536986;268673;0;127;277000
1614132;2159968;406493;222927;0;127;278000
1725520;2330866;485838;252073;244;127;279000
1804683;2474603;550047;272239;244;127;280000
1846370;2500909;550352;271260;184;127;281000
1716488;2356684;517760;258996;0;127;282000
1839656;2521051;574340;279664;0;127;283000
1738521;2373346;521239;261053;0;127;284000
1798396;2439020;532592;265685;0;127;285000
1628230;2168024;395690;221534;305;127;286000
1907161;2603326;537047;288025;122;127;287000
1612240;2146723;385130;219571;0;127;288000
1714961;2325617;478393;249059;0;127;289000
1875606;2570428;597227;287081;0;127;290000
1847835;2503595;542174;270649;0;127;291000
1767329;2364557;481810;250732;306;127;292000
1809261;2441156;517577;261729;305;127;293000
1909236;2611444;588011;286616;183;127;294000
1810787;2456964;509215;263931;0;127;295000
1653439;2201715;415221;231366;0;127;296000
1880305;2560175;570494;283367;0;127;297000
1880062;2558466;564513;278188;0;127;298000
1808162;2454339;532591;267987;367;127;299000
2008418;2761529;643675;306940;305;127;300000
1944636;2634820;564390;280918;366;127;301000
2006647;2759820;644896;305421;367;127;302000
1837154;2498102;540465;272573;0;127;303000
1966303;2666863;589659;289860;0;127;304000
1917536;2617425;581724;285764;0;127;305000
1919368;2629937;592710;290609;0;127;306000
1868770;2507745;513793;264928;367;127;307000
1867061;2525628;523802;268203;244;127;308000
1989925;2715203;619444;299697;305;127;309000
1919612;2605828;550292;279049;367;127;310000
1812434;2442804;489073;259271;0;127;311000
1921565;2609979;572203;286280;0;127;312000
1936091;2611809;549926;279071;0;127;313000
1982600;2698419;585997;290876;0;127;314000
2083735;2874077;687743;321912;244;127;315000
2043330;2784416;623290;302543;305;127;316000
1926204;2607904;539977;277149;305;127;317000
2049311;2812371;646849;311767;183;127;318000
2084224;2828240;630614;306425;244;127;319000
1891963;2550409;520263;271646;122;127;320000
1830989;2484613;514037;271067;0;127;321000
2069025;2826409;626952;308392;0;127;322000
1873409;2541863;526793;274320;0;127;323000
2082453;2846490;647337;315453;0;127;324000
1858089;2484490;477476;259461;122;127;325000
2133357;2920585;676268;322535;244;127;326000
2046930;2797478;617491;305495;427;127;327000
2027705;2733269;569945;291615;306;127;328000
2047968;2767693;588805;296860;245;127;329000
2019892;2758843;616697;304831;0;127;330000
2150019;2920769;645934;315403;0;127;331000
2155512;2972709;679564;328588;0;127;332000
1936824;2596123;512023;276284;0;127;333000
2132197;2892998;626891;310877;0;127;334000
1883967;2500787;448424;257517;0;127;335000
2134150;2916191;662413;321228;305;127;336000
1900874;2506463;445983;256434;122;127;337000
2010554;2705559;529662;285657;183;127;338000
2128168;2892754;623655;315510;183;127;339000
2180476;2931023;608641;311589;671;127;340000
2104914;2849480;607238;308934;0;127;341000
2009822;2719414;572508;297529;0;127;342000
2299616;3146354;725401;347213;0;127;343000
2093989;2855279;618712;310941;0;127;344000
1938289;2597528;501708;273827;0;127;345000
1888667;2491571;431823;252779;0;127;346000
2157770;2929008;630858;316924;367;127;347000
2016536;2714898;532653;288196;305;127;348000
2458612;3389761;811155;378391;245;127;349000
2281489;3127128;715880;346335;549;127;350000
2110774;2850762;593687;305320;427;127;351000
2432733;3335441;785459;370305;244;127;352000
2323541;3187553;745177;353835;244;127;353000
2326654;3172843;723692;346820;244;127;354000
2251032;3086113;691222;337228;366;127;355000
2329096;3189017;735106;352366;183;127;356000
2395684;3291312;759886;363577;183;127;357000
2312861;3140311;696776;341069;183;127;358000
2267511;3090263;692503;337874;183;127;359000
2158319;2910088;603698;310735;0;127;360000
2275324;3082207;656554;330502;0;127;361000
2291193;3129630;705503;344494;0;127;362000
2324457;3180107;707335;349233;0;127;363000
2394586;3268302;753660;358777;0;127;364000
2030452;2710870;514037;284289;0;127;365000
2285090;3111870;684996;338191;0;127;366000
2130549;2870537;585692;306837;0;127;367000
2207697;2993400;646117;326496;0;127;368000
2373773;3239554;728575;351528;0;127;369000
2167719;2896050;564512;301097;0;127;370000
2211298;2986259;625242;324627;367;127;371000
2402093;3276420;734861;354521;305;127;372000
2322687;3162467;701659;344721;305;127;373000
2234736;3027641;628905;325857;305;127;374000
2399530;3259574;731810;354577;366;127;375000
2121332;2825493;519896;291372;366;127;376000
2526300;3478445;813780;388274;305;127;377000
2480585;3380850;753477;367043;428;127;378000
2483881;3401847;778501;373793;549;127;379000
2426813;3302603;731687;362175;366;127;380000
2432794;3319267;745298;362615;367;127;381000
2116328;2816887;516966;290649;244;127;382000
2485712;3408377;770506;376342;305;127;383000
2542535;3462332;777159;376743;427;127;384000
2295160;3074149;622191;323041;366;127;385000
2287653;3110282;664733;338250;306;127;386000
2497613;3411064;768980;372800;305;127;387000
2566094;3497855;787107;382386;305;127;388000
2468682;3377433;771055;370995;366;127;389000
2541558;3467093;786558;376215;244;127;390000
2211664;2947075;570799;309461;305;127;391000
2449945;3349357;757139;367899;244;127;392000
2531976;3445487;777158;375188;305;127;393000
2560235;3507621;811582;386242;366;127;394000
2535089;3465934;807066;383442;367;127;395000
2717705;3717825;856871;407176;488;127;396000
2520867;3430838;772886;374606;366;127;397000
2522271;3431998;764158;375361;245;127;398000
2642816;3630972;830747;397736;0;127;399000
2626336;3624014;861814;405323;0;127;400000
2500360;3416434;769896;375576;0;127;401000
2585259;3534475;805723;387038;0;127;402000
2624444;3612784;846983;402811;0;127;403000
2601189;3564872;819212;391961;244;127;404000
2477105;3368216;730711;365850;244;127;405000
2446161;3327873;718504;361923;366;127;406000
2638298;3600821;837217;394757;183;127;407000
2375421;3192070;639097;338486;183;127;408000
2522821;3423087;750791;373199;183;127;409000
2724541;3741629;867491;410977;184;127;410000
2629510;3603324;811888;391629;427;127;411000
2601312;3569144;822751;395851;305;127;412000
2653070;3649771;844541;401609;428;127;413000
2368951;3186393;626524;335143;305;127;414000
2676324;3663504;839964;403754;427;127;415000
2704156;3695669;847532;403261;550;127;416000
2557549;3452750;730711;367028;366;127;417000
2626214;3592887;796629;392778;366;127;418000
2664727;3635916;822447;396431;0;127;419000
2640801;3602346;816343;395389;0;127;420000
2494927;3399710;740294;373488;0;127;421000
2683465;3666617;822203;401392;0;127;422000
2574639;3504019;771422;384119;0;127;423000
2677789;3644644;810056;395082;0;127;424000
2710015;3693106;827451;401006;305;127;425000
2711786;3725821;853818;412622;183;127;426000
2793510;3817800;875059;418278;183;127;427000
2724359;3704092;808164;402293;183;127;428000
2494928;3363945;682859;356938;305;127;429000
2683526;3652762;813475;398882;366;127;430000
2640069;3576773;784056;388511;367;127;431000
2893669;3966543;922056;436704;305;127;432000
2585321;3541434;767210;383590;61;127;433000
2688714;3680166;838315;407213;0;127;434000
2877800;3939321;909970;435922;0;127;435000
2571953;3501395;740660;380719;0;127;436000
2812737;3817679;845823;416261;244;127;437000
2924492;4021413;937925;444730;244;127;438000
2791802;3827932;882749;423658;305;127;439000
2859490;3897940;866636;422330;183;127;440000
2690850;3657584;793516;396098;122;127;441000
2747368;3751944;838682;410211;183;127;442000
3000298;4099965;940245;447839;244;127;443000
2974480;4099599;970823;457058;244;127;444000
2782525;3797475;848142;413304;306;127;445000
2641778;3564810;742369;382275;428;127;446000
2870537;3913808;872984;422962;245;127;447000
2924370;4021963;938169;445367;0;127;448000
2815423;3870290;897214;430640;0;127;449000
2908745;3974355;904600;433085;733;127;450000
2814568;3690848;702269;376693;305;127;451000
2953972;4044667;931455;443584;366;127;452000
2858880;3916738;885069;431254;366;127;453000
2684320;3679007;811826;410948;427;127;454000
2872246;3931936;888731;428268;183;127;455000
2964958;4068532;946958;453096;0;127;456000
2945244;4049794;944516;447316;0;127;457000
3041069;4160451;948789;456408;184;127;458000
2784600;3784964;824217;411092;366;127;459000
3010978;4122853;943968;451727;183;127;460000
3016716;4146474;972959;465171;367;127;461000
2543573;3357353;584533;337914;305;127;462000
2585443;3472342;672545;364509;305;127;463000
2775566;3788992;841124;416907;366;127;464000
2800042;3825307;846067;419413;0;127;465000
2864373;3914602;875669;430335;0;127;466000
3033134;4158437;961972;460706;427;127;467000
3385550;4569813;1032468;484078;427;127;468000
2941459;4032399;943540;450188;244;127;469000
2925590;3979482;876340;430331;244;127;470000
2837578;3874807;858884;425599;305;127;471000
3184623;4366383;1019041;480194;0;127;472000
3053032;4197561;975400;462408;244;127;473000
2721673;3681387;758543;396408;183;127;474000
3176017;4348561;1001157;476931;244;127;475000
3032707;4150502;968747;460775;245;127;476000
3083427;4226308;972409;463170;244;127;477000
2886406;3909597;836790;423983;0;127;478000
2968803;4041005;901243;440990;0;127;479000
3079643;4208241;954221;457567;305;127;480000
3153862;4324268;1008665;481731;305;127;481000
3103020;4244741;978513;466367;366;127;482000
2993278;4087026;923643;447726;244;127;483000
2862053;3877736;819761;416916;0;127;484000
3111442;4269887;991086;470884;0;127;485000
3126823;4267750;979734;469249;244;127;486000
3221854;4435230;1055417;492895;183;127;487000
2943108;4022389;884214;442793;366;127;488000
3161185;4339955;1006101;476353;549;127;489000
2702874;3602347;686034;378668;0;127;490000
2913933;3935110;815122;424516;0;127;491000
2812859;3783681;760740;402238;0;127;492000
3167228;4339772;1017454;483576;244;127;493000
3224174;4401539;995908;483022;366;127;494000
3148612;4317189;995054;479478;306;127;495000
3166740;4344777;995725;481569;0;127;496000
2887993;3907155;809507;423290;0;127;497000
3382498;4605640;1045530;501419;550;127;498000
3345573;4596179;1085019;509225;244;127;499000
3132499;4297048;1005796;479344;305;127;500000
3096732;4229176;944883;462152;0;127;501000
3024346;4087331;869382;441966;0;127;502000
3305839;4534657;1069211;502782;184;127;503000
3113395;4273732;957822;473923;366;127;504000
2972588;4051259;875364;443904;244;127;505000
3188652;4364735;992063;478016;183;127;506000
3186820;4384755;1028318;489452;0;127;507000
3235404;4434132;1015988;487868;183;127;508000
3132804;4230153;911375;453850;367;127;509000
3155754;4311451;983335;475234;244;127;510000
3190117;4353749;974423;473741;305;127;511000
3375540;4645068;1104855;520887;428;127;512000
3237907;4435535;997190;489563;305;127;513000
3405448;4686817;1096982;518014;244;127;514000
3291068;4507801;1040891;497479;306;127;515000
3270988;4458118;1004453;485112;367;127;516000
3300102;4532154;1065244;503174;305;127;517000
2883538;3840322;713682;398885;0;127;518000
3370597;4601063;1040220;505982;0;127;519000
3431327;4696338;1071897;513943;366;127;520000
2988884;4022268;808836;424997;122;127;521000
3181572;4302662;917478;466863;244;127;522000
3370780;4625354;1061704;511040;367;127;523000
3225212;4404591;993467;485016;306;127;524000
3566946;4892383;1147336;539692;183;127;525000
2813957;3725576;662840;385290;244;127;526000
3204643;4334950;922300;462293;305;127;527000
3364127;4591968;1032529;504800;0;127;528000
3451285;4751758;1118162;529506;183;127;529000
3576285;4937365;1163083;548027;122;127;530000
3418143;4700367;1110409;526084;366;127;531000
3450553;4733447;1092465;520166;305;127;532000
3521536;4854296;1151303;544577;427;127;533000
3301566;4482411;985715;484815;366;127;534000
3404410;4681812;1102048;520413;427;127;535000
3501273;4782825;1091245;526484;305;127;536000
3313895;4491261;956724;485486;244;127;537000
3440360;4729236;1107847;526228;245;127;538000
3437552;4686450;1054623;506541;0;127;539000
3423026;4690051;1071347;516766;183;127;540000
3607535;4957812;1163449;547756;305;127;541000
3325553;4562733;1034422;501144;305;127;542000
3454825;4748340;1094540;526125;0;127;543000
3461112;4754200;1108457;526151;183;127;544000
3276603;4436085;923154;476240;244;127;545000
3378470;4625049;1046323;508146;428;127;546000
3514823;4822864;1100278;529687;611;127;547000
3628836;5005541;1188290;560501;427;127;548000
3297660;4473866;943051;481002;549;127;549000
3638052;5016711;1110349;561327;488;127;550000
3653128;5032702;1193540;560079;305;127;551000
3442191;4685108;1042539;508089;244;127;552000
3546194;4850879;1122617;534206;244;127;553000
3447318;4716113;1060361;514784;183;127;554000
3533804;4853565;1123532;543041;183;127;555000
3550833;4863940;1135373;537917;366;127;556000
3455741;4729358;1072080;522552;0;127;557000
3695914;5083239;1204038;565583;183;127;558000
3467886;4754566;1095456;526089;305;127;559000
3539908;4839648;1100217;528830;0;127;560000
3129448;4159230;774351;434815;671;127;561000
3804373;5244860;1250974;585528;305;127;562000
3280021;4434620;905515;474422;244;127;563000
3603018;4973498;1185910;557729;0;127;564000
3852957;5296617;1256650;588555;183;127;565000
3727224;5120593;1206174;569913;366;127;566000
3784170;5206896;1237851;576926;305;127;567000
3723135;5130724;1230344;572712;183;127;568000
3534537;4811389;1067014;519935;305;127;569000
3820302;5256395;1256467;588429;183;127;570000
3984670;5510362;1338986;616029;183;127;571000
3706533;5091418;1189939;566300;305;127;572000
3685416;5038867;1157284;552871;427;127;573000
3606619;4939807;1127683;548537;427;127;574000
3242668;4303456;803404;442947;428;127;575000
3709891;5071460;1176633;560857;305;127;576000
3768362;5174730;1220945;573079;366;127;577000
3764578;5165880;1198483;570206;244;127;578000
3463493;4686450;1023130;510490;122;127;579000
3675894;5046740;1159970;559533;183;127;580000
3754385;5176257;1236142;580346;183;127;581000
3527457;4792285;1019346;517751;306;127;582000
3508475;4804309;1086423;530567;0;127;583000
3770131;5176684;1192807;570042;549;127;584000
3696829;5075487;1177914;566820;367;127;585000
3848806;5273058;1224057;584487;305;127;586000
3924794;5412950;1290463;606408;367;127;587000
3461478;4660816;966245;495317;366;127;588000
3720327;5107775;1188656;566923;244;127;589000
4023244;5545824;1330380;617959;428;127;590000
3542960;4828113;1067258;529443;366;127;591000
