CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
1033750;14353052;5453721;5420158;8545;139;1000
870420;1157956;171813;122917;854;139;2000
906675;1218808;189636;127938;733;139;3000
851865;1138852;169921;120702;488;139;4000
891966;1193722;185547;126788;733;139;5000
845945;1139402;171264;122671;488;139;6000
852476;1137387;171569;122454;244;139;7000
866636;1152463;175231;123654;610;139;8000
855222;1139646;175110;123463;367;139;9000
844785;1132322;172424;122409;427;139;10000
859128;1151670;179382;123833;549;139;11000
958006;1256040;186034;126504;1159;139;12000
867185;1148557;170348;121892;367;139;13000
862424;1169003;179749;124419;610;139;14000
872129;1160764;174988;122227;794;139;15000
899839;1199582;189330;128052;915;139;16000
859373;1150327;174255;123444;366;139;17000
867674;1159787;176269;123291;732;139;18000
855894;1130552;169738;121368;427;139;19000
854917;1147397;174193;122950;488;139;20000
895384;1183652;174682;122763;611;139;21000
831724;1101499;159362;118976;61;139;22000
898557;1176755;179077;124228;1160;139;23000
855894;1136715;166076;120062;549;139;24000
864317;1162778;177978;122954;427;139;25000
856382;1138119;170776;121175;610;139;26000
873594;1170529;174865;123130;977;139;27000
850401;1133115;170227;120797;610;139;28000
866026;1149289;177185;124465;793;139;29000
860472;1153257;178589;124205;305;139;30000
935239;1225034;186706;125472;1526;139;31000
868711;1151486;170470;121439;549;139;32000
852843;1166318;169555;120822;427;139;33000
866453;1147397;174743;122904;610;139;34000
872557;1162229;177002;123718;427;139;35000
863523;1160214;175536;122423;672;139;36000
851561;1131894;168457;121046;427;139;37000
885069;1190732;183776;126910;671;139;38000
850034;1136960;173339;121495;488;139;39000
938230;1213132;187805;125720;915;139;40000
827878;1101498;162353;119137;0;139;41000
902037;1198850;182922;124264;1343;139;42000
867247;1153622;172302;122563;488;139;43000
865598;1149777;173400;122497;549;139;44000
877257;1173581;183471;125282;915;139;45000
880552;1165952;174377;122241;976;139;46000
865354;1153378;174560;122977;489;139;47000
854062;1139096;172546;121787;732;139;48000
845579;1144406;174499;122753;550;139;49000
871579;1177853;178527;123752;671;139;50000
862058;1146786;174499;121090;671;139;51000
867308;1159421;170715;122251;550;139;52000
887632;1166379;176025;122218;1159;139;53000
867673;1151425;169860;121929;488;139;54000
858091;1150570;169616;121572;549;139;55000
870176;1156613;171753;122414;610;139;56000
882566;1188657;186828;126743;916;139;57000
858518;1150753;173706;122607;366;139;58000
949765;1244504;190979;126325;1221;139;59000
845762;1128110;168884;120901;488;139;60000
862424;1146664;176452;123599;671;139;61000
872373;1163571;172302;120915;672;139;62000
879209;1162717;174560;123421;549;139;63000
862180;1159909;173522;122930;672;139;64000
858945;1154782;171752;121461;549;139;65000
875731;1155880;174805;123389;489;139;66000
858152;1147397;170837;121649;854;139;67000
894468;1173215;177124;124557;855;139;68000
834287;1149472;170471;119601;489;139;69000
877073;1172910;185241;125833;793;139;70000
854856;1147336;178222;124252;549;139;71000
903684;1201047;182738;125522;1038;139;72000
874937;1159116;174438;124016;549;139;73000
869443;1161862;172362;122238;733;139;74000
854490;1137937;167968;121547;549;139;75000
866208;1166135;178649;124571;428;139;76000
857786;1147397;170532;121004;915;139;77000
933226;1222653;181702;124360;1160;139;78000
880369;1191404;182617;124785;1221;139;79000
863889;1149961;175598;122616;977;139;80000
859067;1140194;173217;122578;244;139;81000
863768;1150754;168884;121073;550;139;82000
892332;1188351;179565;124891;1098;139;83000
867002;1154904;169982;122385;732;139;84000
869321;1168271;172607;122135;611;139;85000
851683;1130612;166320;120025;549;139;86000
964720;1249448;192687;129179;1465;139;87000
840330;1119626;166443;120188;183;139;88000
860410;1139768;175110;122515;855;139;89000
858396;1149167;179015;125558;550;139;90000
829283;1145017;171081;121103;244;139;91000
876707;1161069;173461;121639;915;139;92000
869078;1163693;173095;122844;732;139;93000
893308;1187069;181762;124347;1282;139;94000
855223;1136166;166748;120809;489;139;95000
856748;1141537;171386;122105;549;139;96000
884031;1188473;178772;122507;1099;139;97000
882993;1179197;184509;125384;793;139;98000
860349;1152891;178833;124958;488;139;99000
849607;1142942;171081;122363;610;139;100000
