CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
258513315;324515222;37485256;35373982;854;0;764
264616693;329602001;37171231;35025197;611;0;768
502378658;648626819;74748161;71900283;610;137;772
395781946;510590185;60561979;58076771;733;137;776
323331204;410698839;48549864;46179503;915;137;780
324116541;410876268;48368163;45970229;611;137;784
412816204;524764953;59369233;56780984;976;137;788
449383982;580025981;67521067;64963152;916;137;792
544181224;694808646;76907152;74264168;854;137;796
1111954490;1424456376;149303573;145398186;1221;137;800
529229785;679007051;76502917;73663142;732;137;804
1449045973;1858425601;192834955;188647832;1282;137;808
327603470;417361419;49531917;47327505;916;137;812
564339376;710872386;75152456;72290808;732;137;816
325527243;415285802;49523799;46885442;915;137;820
327221818;415517064;49002987;46445371;794;137;824
774429414;975827213;99975574;96691195;1099;137;828
1680293428;2184768821;234291880;229099053;1770;137;832
382641965;492825276;58450778;55986307;1281;137;836
895456448;1146860345;122326713;118773415;1221;137;840
1098780756;1400595902;144705013;140880113;1526;137;844
649337022;846954375;97475946;94739300;1221;137;848
769744307;980599113;104018716;101084154;1098;137;852
535629733;696575731;82173129;79487248;550;137;856
322795743;411878462;49080258;46651642;1037;137;860
1088921956;1401968457;149767134;146185428;1038;137;864
179689848;226960723;26616387;25056834;1037;0;868
3889700;5049365;746214;543209;427;0;872
3863454;5016833;746885;544714;366;0;876
3846365;4987292;746397;545481;427;0;880
3949758;5117175;751158;549103;366;0;884
3871694;5032824;756651;547560;366;0;888
3885854;5051806;758910;554001;367;0;892
3961171;5138964;761533;552255;366;0;896
3886709;5045519;755247;548588;366;0;900
3911245;5074999;761900;555377;488;0;904
4025869;5217394;774290;556020;610;0;908
3905325;5077197;761778;552391;367;0;912
3900076;5071826;764219;555632;305;0;916
4013784;5208666;770445;560711;427;0;920
3942190;5124560;772581;557632;367;0;924
3902455;5085802;775145;561053;427;0;928
4054616;5254198;778685;566829;427;0;932
3966603;5156969;771727;558850;488;0;936
3936208;5124865;775755;562100;366;0;940
4013723;5203356;775450;562259;306;0;944
3974660;5164720;779845;565524;488;0;948
3947988;5146959;784177;564786;427;0;952
4051015;5252428;782224;566102;427;0;956
3973623;5172411;782285;564285;488;0;960
3971121;5162158;785459;565262;366;0;964
4077321;5292834;790586;569891;305;0;968
4006277;5208238;787169;570134;366;0;972
3998708;5210619;795714;573774;427;0;976
4090687;5310595;791990;572207;427;0;980
4113149;5351854;808958;583588;427;0;984
4090993;5310838;809019;579487;428;0;988
4100209;5317735;795531;572948;427;0;992
4053762;5266954;802183;578004;427;0;996
4052114;5261523;802610;576877;305;0;1000
4147084;5387254;808836;580826;366;0;1004
4081533;5323472;811094;579968;366;0;1008
4060658;5287767;807554;578585;305;0;1012
4182240;5422349;815855;586605;305;0;1016
4107168;5339953;813902;583789;305;0;1020
4066640;5300279;815244;582217;428;0;1024
