CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
130310;209961;44555;32967;183;0;1
186095;222351;35278;20368;550;0;2
449584;526793;56580;40555;122;0;3
1290219;1443234;124573;107680;489;0;4
2596917;2887016;236144;207043;732;0;5
4638843;5195300;404845;369163;733;0;6
7235577;8052103;626586;578387;1343;0;7
11578767;12809720;972898;905651;2075;0;8
16145894;17819046;1359677;1264857;2686;0;9
22689090;25152158;1925043;1806017;3784;0;10
29658982;32907936;2490350;2336396;4517;0;11
39282920;43476817;3312247;3102816;5371;0;12
50346856;55723795;4233998;3973403;7873;0;13
63051413;69809941;5290697;4974862;8179;0;14
77897262;86231407;6517196;6121299;12695;0;15
94517886;104718970;7932719;7481907;15319;0;16
113243240;125374374;9465735;8913012;18432;0;17
136838029;151649331;11522615;10872414;21790;0;18
159151692;176063575;13313259;12546379;26917;0;19
187278756;207357928;15748800;14859982;32715;0;20
216938105;240203548;18166457;17146993;38330;0;21
249904329;276800012;20884895;19799199;39551;0;22
285625795;316053390;23889831;22552952;49866;0;23
325677633;360440727;27188956;25684501;57068;0;24
368371981;407744257;30747663;29219931;60364;0;25
416476717;461177469;34950716;33057011;83068;0;26
465793363;515426293;38901878;36823930;83191;0;27
525903744;581843359;43698252;41296209;101745;0;28
579730632;641862493;48441709;46022922;100829;0;29
630480259;701260717;55243084;52235417;127868;0;30
701226904;777850060;60095000;56885524;140259;0;31
769537642;854378856;66447889;62961598;152099;0;32
848382960;941611237;72911679;69127375;166015;0;33
923908523;1026196226;80055093;75925286;180907;0;34
1011230505;1123149102;87554585;83076228;198424;0;35
1107147068;1228431425;94815858;90006086;211608;0;36
1200519815;1333196050;103533121;98284380;230163;0;37
1303916340;1447111957;111774677;106117533;247619;0;38
1405899416;1560956759;121179133;115126593;266845;0;39
1522064524;1691357060;131681670;125080290;290100;0;40
1624190727;1804830646;141102850;134127732;305969;0;41
1740483764;1936989731;152965063;145447597;328063;0;42
1903406870;2113805990;164786993;155616369;396911;0;43
2064333887;2285463327;172587632;163877477;372375;0;44
2209874714;2444921598;183748614;174517046;364379;0;45
2362007870;2613019922;196322861;186416631;384460;0;46
2519561299;2787249151;209679822;199207828;414550;0;47
2690985726;2977285591;223908423;212655175;434874;0;48
2866266039;3171556334;238695862;226791396;470580;0;49
3051095034;3375642359;253721152;241032540;488768;0;50
3236530533;3580900562;269272443;255821301;523314;0;51
3433457580;3798368511;285367494;271113932;571410;0;52
3614772912;4003838993;304277724;289165277;632383;0;53
3796341416;4207928192;322154326;306232650;667051;0;54
3973852497;4413703972;344212742;327185743;712218;0;55
4213581865;4676589102;361812001;343936241;753050;0;56
4426959065;4920744056;385713002;366605159;801390;0;57
4647184026;5166512225;405620056;385790637;832700;0;58
4898148777;5443514324;426258186;405315962;876707;0;59
5152166437;5732172520;452391176;430240888;928892;0;60
5402416407;6011121757;475236210;452006149;982419;0;61
5676011409;6313532177;498020149;473702505;1021542;0;62
5946820225;6618053005;524513855;498912568;1080930;0;63
6365683899;7058274655;541285724;514787791;1120969;0;64
6738895529;7455108600;559401583;532053715;1092526;0;65
7069218231;7819927124;586229884;557668526;1165890;0;66
7416769405;8204709220;615234753;585284210;1189145;0;67
7758263830;8581162297;642583071;611279469;1275021;0;68
8056447759;8915311894;671619558;638943235;1372921;0;69
8430143580;9325619865;700135231;665927947;1431332;0;70
8810022917;9746095961;731712970;695526362;1471188;0;71
9189988559;10165735206;762454531;725362090;1457760;0;72
9592653605;10611467036;795516884;756728359;1528500;0;73
10070052711;11142078409;835018431;794060022;1697689;0;74
10360735744;11470309014;866832498;824752432;1773372;0;75
10744567587;11907423191;908111445;863721179;1861873;0;76
11283913252;12479791904;933575247;888304100;1834163;0;77
11701337842;12944612126;971191972;923776047;1790767;0;78
12165478988;13456723242;1008136030;959079790;1735347;0;79
12651783164;13994780702;1049012329;997770509;1804439;0;80
13142087999;14532859280;1088848531;1035476760;1822566;0;81
13663180842;15105776698;1130025854;1074896813;1478878;0;82
14148891086;15643637076;1171086724;1113897040;1543331;0;83
14789732218;16343572235;1215771729;1156382160;1671504;0;84
15201782128;16807399905;1258337415;1196844274;1658321;0;85
15761071224;17426534978;1304710406;1241039594;1762141;0;86
16349763260;18075870840;1351894122;1285726659;1634579;0;87
16896808123;18681863979;1398652303;1330064085;1830867;0;88
17591919381;19447534809;1451830511;1380596818;2006525;0;89
18072133606;19982093255;1497100354;1423823035;1927119;0;90
