CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE,INPUT
6283004;7125287;782407;456778;2224176;14710;0,800
7494976;8467996;1012814;551793;2711846;20325;0,832
8078898;9184058;1170408;591623;2944694;22156;0,864
8712075;9835058;1063962;661386;3196647;20752;0,896
10578220;11995941;1461239;776099;3847891;25207;0,928
11940216;13626125;1859737;871772;4366138;29541;0,960
12802885;14580163;1856379;958139;4742846;31555;0,992
13617336;15457908;2024897;994386;4828296;39795;0,1024
15252281;17324846;2248896;1123777;5617051;46875;0,1056
16775165;18975720;2229364;1193046;5911972;54016;0,1088
19156445;21709356;2859123;1315077;6625899;56030;0,1120
20910774;23747926;3114494;1464610;7341839;58044;0,1152
22543583;25665584;3443107;1598230;8048136;65246;0,1184
24420836;27769582;3734304;1709849;8632486;63659;0,1216
26675957;30331465;4030690;1861662;9374854;60730;0,1248
29022142;33052039;4563953;2059269;10365208;72693;0,1280
30524214;34735202;4612842;2177550;10981417;74463;0,1312
32867531;37331448;4846911;2314755;11633881;82092;0,1344
35920501;40864947;5561265;2511338;12671476;98450;0,1376
37866846;43286876;6157210;2712800;13716090;115540;0,1408
41249895;47010500;6504989;2879118;14548608;110779;0,1440
44044015;50161005;6890180;3077655;15539267;113098;0,1472
46937196;53459885;7412274;3282942;16570758;113769;0,1504
49582698;56402870;7802775;3459886;17411088;116089;0,1536
53040880;60406827;8469765;3650353;18526259;139953;0,1568
55324443;63159995;8729714;3984215;20088328;163757;0,1600
59729034;68049142;9615759;4103716;20844612;149292;0,1632
61874110;70485537;9844030;4322010;21913091;151367;0,1664
67109875;76316150;10453282;4649877;23553345;176819;0,1696
64437274;74181512;11045870;4925504;24845578;194336;0,1728
69463629;79744791;11542084;5210169;26393365;173827;0,1760
72375303;83133210;11900116;5563688;27949147;188354;0,1792
79483805;91564096;13779689;6049936;30578474;232727;0,1824
82373568;94404849;13357448;6212641;31320111;225647;0,1856
86242028;99359304;15052268;6564334;33253455;220153;0,1888
89643752;103455362;15903402;6883465;34837069;257080;0,1920
95663024;110176720;16691852;7245925;36702176;254760;0,1952
98492484;113457473;17165544;7504027;38090661;266112;0,1984
103636087;119715514;18342238;8021567;40582660;307067;0,2016
109657006;125756148;18807752;8292191;40632160;279357;0,2048
114430738;131822417;19415722;8836671;44631538;351928;0,2080
119396362;137541823;21066352;9033913;45809697;292418;0,2112
125559676;144496517;21347236;9604390;48622495;363158;0,2144
130160617;149899213;22301029;10013912;50649651;362182;0,2176
136582109;157021082;23136965;10335650;52336170;395690;0,2208
141810062;163556711;25082700;10858371;55003948;384155;0,2240
149229965;171711047;25078305;11481939;58024509;450316;0,2272
154339815;177243077;25851985;11686681;58919710;406921;0,2304
159552021;184315080;28669299;12287218;62388146;453245;0,2336
167015686;193243768;30233810;13073439;66232497;489683;0,2368
