CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE,INPUT
36136687;42977246;3634085;4865116;20921456;125610;137,20000
36885526;43895517;3760183;4997160;21483526;132568;137,20100
36821989;43720164;3719900;4851327;21000251;149474;137,20200
45631414;53734298;4102284;5984419;25445492;120178;137,20300
38787743;46083195;3895803;5185037;22264042;156494;137,20400
36160613;43022534;3690787;4883840;21006049;134399;137,20500
36610746;43508860;3749502;4866984;21017952;147094;137,20600
36875577;43917124;3774100;4985979;21500921;149108;137,20700
37162197;44298776;3819509;5056770;21816350;152709;137,20800
35716340;45184638;4408924;7279745;30218307;122864;137,20900
37355495;44381418;3802298;5009717;21530890;132995;137,21000
37121365;44204477;3776663;5005615;21594183;148864;137,21100
38695274;45911076;3844594;5181242;22259525;129455;137,21200
41105547;48497373;3885549;5325071;22828493;144409;137,21300
38889427;45933720;3746328;5060026;21713262;120544;137,21400
39588461;46901309;3925954;5188316;22346501;149536;137,21500
37664027;44597176;3672049;4941127;21195746;127014;137,21600
42732557;50435479;4052663;5531869;23770264;141174;137,21700
35906158;42672498;3715627;4765607;20582406;143615;137,21800
37408412;44309029;3707632;4901290;21090095;113586;137,21900
38321740;45429693;3894155;5002375;21677007;149719;137,22000
41024248;48448362;3983937;5327429;22876284;116943;137,22100
39768575;47055544;3815481;5292402;22573978;123168;137,22200
36842618;43940439;3768850;5104566;21869695;128051;137,22300
39975361;47243470;3838369;5189044;22296635;143676;137,22400
39760335;47140016;3951345;5259422;22672061;135009;137,22500
42197097;49873163;3962453;5610473;23909302;148682;137,22600
36984403;44159677;3857046;5094912;21999700;155944;137,22700
37612086;44628121;3825673;4978431;21531012;132935;137,22800
38952537;46302127;3944753;5225045;22493473;159057;137,22900
36868253;46497318;4397388;7357960;30655988;168761;137,23000
36859342;43836985;3737661;4980025;21377020;120361;137,23100
40725726;48029540;3950368;5155131;22240483;152466;137,23200
36895902;43961375;3750784;5047702;21684515;137695;137,23300
35255770;42191481;3780508;4871713;21117011;147460;137,23400
38901511;46049687;3763479;5106932;21968633;147216;137,23500
35764801;42513135;3704825;4749803;20582101;121826;137,23600
38810692;45899114;3772817;5051351;21761846;147705;137,23700
39445029;46727237;3889639;5156297;22145573;141907;137,23800
37500270;44471322;3790761;4946791;21373175;123168;137,23900
40985308;48529294;3880117;5472584;23428102;135681;137,24000
45858037;53916183;4143544;5885156;25111202;155944;137,24100
36969144;44136057;3780691;5146496;22078801;137207;137,24200
47225587;55438274;4312183;5961648;25473629;141723;137,24300
35744843;42652174;3730764;4910282;21162604;121948;137,24400
36321196;43170117;3655325;4826533;20831184;142944;137,24500
35398774;42145522;3687673;4741815;20535592;115722;137,24600
37107694;44081491;3752859;4904037;21222785;142883;137,24700
40500628;47748718;3975270;5114221;22106633;138611;137,24800
40614520;48074706;3900259;5426721;23226015;111511;137,24900
41690201;51941335;4587940;7989503;32995033;130432;137,25000
38598412;45835026;3773794;5243550;22450626;116027;137,25100
39138450;46378910;3842153;5155336;22175786;149353;137,25200
37183804;44291818;3843496;5008837;21716680;152100;137,25300
39972371;47327943;3833914;5250626;22509403;149170;137,25400
37190640;44147958;3829396;4821615;20995857;144043;137,25500
37600917;44649605;3790579;4993082;21578375;142883;137,25600
38130090;45415777;3756338;5341008;22762393;128418;137,25700
37835474;44899605;3809621;5012297;21641180;136291;137,25800
37925012;44936835;3737479;5015971;21579840;123962;137,25900
37007778;43806834;3717154;4749675;20651925;156067;137,26000
37764307;44757027;3818715;4943749;21401007;125793;137,26100
39797262;46877626;3743643;5075026;21792607;141601;137,26200
37642787;44752998;3820852;5092291;21922795;108093;137,26300
36657194;45652715;4188588;6849662;28631518;153747;137,26400
42769178;50432610;3986684;5558517;23799500;150024;137,26500
41696793;49200375;3926870;5412344;23237733;144225;137,26600
42932141;50862663;4168019;5718280;24552977;154296;137,26700
39108603;46297488;3861745;5070908;21919866;151367;137,26800
38463463;45437384;3838979;4890314;21158882;130371;137,26900
37115628;44184823;3782339;5040913;21709051;118713;137,27000
43619456;51238089;4006825;5465617;23467225;120178;137,27100
36259733;43070386;3651968;4809372;20694955;142455;137,27200
39299826;46244999;3772878;4933941;21289923;131836;137,27300
39332602;49025875;4381702;7538177;31250591;128234;137,27400
38911399;45886479;3846670;4895751;21218696;142516;137,27500
37419093;44367501;3677908;4998472;21374946;134827;137,27600
36566984;43801829;3819387;5177139;22165775;131592;137,27700
42184402;49523006;3851308;5274026;22600223;138976;137,27800
36768522;43457958;3680167;4671724;20282052;150695;137,27900
37062650;44098337;3797293;5030803;21623907;123168;137,28000
40897234;48177855;3917104;5183681;22261845;120727;137,28100
40069966;50195916;4629871;7818041;32560036;147827;137,28200
40148701;47401734;3859792;5213670;22364384;140808;137,28300
42271193;50212212;3913748;5890276;24965024;111572;137,28400
34895174;41781876;3714102;4904663;21122077;133605;137,28500
34935702;41606583;3627249;4722945;20387216;118408;137,28600
36606047;43570323;3682302;4967205;21307502;125854;137,28700
40789446;48190978;3949270;5271188;22710818;148010;137,28800
35063936;41918899;3664175;4854268;20920357;151245;137,28900
36170684;43005993;3666067;4873415;20958382;116332;137,29000
42040542;49662409;4001333;5526645;23681092;114929;137,29100
36582609;43541087;3725821;4959466;21395575;124695;137,29200
38038599;45361944;3910878;5235429;22534550;126403;137,29300
37176296;43903024;3671133;4713140;20437997;142029;137,29400
37864893;44811470;3693228;4969104;21372382;135802;137,29500
36703459;43444652;3675955;4775392;20630746;117554;137,29600
40925554;48291808;3835623;5339007;22812076;143676;137,29700
35690827;42374464;3698843;4654974;20259225;150757;137,29800
40706500;47916565;3867178;5158925;22135563;122131;137,29900
36886991;43788096;3764029;4825568;20957710;149841;137,30000
